giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-08,1.8849,hedef,2.97,2967.0,3.28
2026-05-14,ALCAR,dip,32.9,0.183,771.5,102967.0,2026-05-18,748.355,stop,-3.03,-3123.0,1.88
2026-05-20,LKMNH,dip,17.0,0.169,15.2,99844.0,2026-05-20,15.656,hedef,2.97,2962.0,3.09
2026-05-21,BIGTK,dip,56.0,0.018,211.5,102806.0,2026-05-21,217.845,hedef,2.97,3050.0,3.03
2026-05-22,KOPOL,dip,44.1,0.131,5.03,105857.0,2026-05-22,5.1809,hedef,2.97,3141.0,9.54
2026-06-02,DERHL,dip,8.1,0.047,15.42,108997.0,2026-06-02,15.8826,hedef,2.97,3234.0,3.76
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,56116.0,2026-06-08,1588.0,acik_kaldi,-0.47,-265.0,2.63
2026-06-05,EMKEL,dip,9.8,0.071,25.96,56116.0,2026-06-05,25.1812,stop,-3.03,-1702.0,0.15
2026-06-08,POLTK,dip,9.1,0.067,5270.0,54414.0,2026-06-08,5111.9,stop,-3.03,-1650.0,0.05
