tarih,kat,grup,pos52,acilis,acilis_ciro_TL,secili,hisse
2026-06-23,25.8,orta,0.21,16.12,37755699,False,BALSU
2026-06-23,17.5,tepe(eski),0.89,15.23,75791120,False,MOGAN
2026-06-23,12.1,DIP,0.16,2.07,6950364,True,IHLGM
2026-06-23,10.6,tepe(eski),1.12,19.76,17450233,False,BRMEN
2026-06-23,10.0,orta,0.2,1.47,1335736,False,IHGZT
2026-06-23,9.2,DIP,0.08,1.37,24242807,True,IHLAS
2026-06-23,6.8,DIP,0.14,1.86,958900,False,IHYAY
2026-06-23,6.6,orta,0.38,134.7,1039479,False,PSDTC
2026-06-23,6.5,orta,0.67,27.38,3998547,False,AYDEM
2026-06-23,6.3,tepe(eski),0.87,26.0,6676306,False,KBORU
2026-06-23,6.0,orta,0.28,412.75,1499108,False,INGRM
2026-06-23,5.0,orta,0.29,94.0,2028332,False,PAMEL
