giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,dakika
2026-01-23,CEOEM,dip,7.0,0.097,23.26,11580.0,2026-01-26,22.5622,stop,-3.03,-351.0,0.86,
2026-01-23,DERHL,dip,15.7,0.005,13.62,11580.0,2026-01-23,14.0286,hedef,2.97,344.0,3.38,
2026-01-26,BIZIM,kirilim,13.4,1.112,31.98,3974.0,2026-01-27,31.0206,stop,-3.03,-121.0,1.75,
2026-01-26,CATES,kirilim,7.2,1.015,41.6,3974.0,2026-01-26,42.848,hedef,2.97,118.0,3.27,
2026-01-26,ESEN,dip,5.1,0.023,4.19,3974.0,2026-01-27,4.0643,stop,-3.03,-121.0,2.63,
2026-01-27,BAKAB,kirilim,8.8,1.029,46.52,14605.0,2026-01-27,45.1244,stop,-3.03,-443.0,0.0,
2026-01-27,SANFM,dip,6.8,0.151,7.55,14605.0,2026-01-27,7.7765,hedef,2.97,433.0,4.77,
2026-01-27,TUREX,dip,7.9,0.029,8.15,14605.0,2026-01-28,7.9055,stop,-3.03,-443.0,1.72,
2026-01-28,ATLAS,kirilim,7.9,1.116,7.34,30750.0,2026-01-29,7.5602,hedef,2.97,912.0,6.68,
2026-01-28,ERBOS,kirilim,6.8,1.008,212.8,30750.0,2026-01-29,219.184,hedef,2.97,912.0,3.2,
2026-01-29,ISFIN,kirilim,13.0,1.076,21.3,19377.0,2026-01-30,21.939,hedef,2.97,575.0,3.1,
2026-01-29,SMRTG,dip,5.1,0.174,8.72,19377.0,2026-01-30,8.4584,stop,-3.03,-588.0,0.11,
2026-01-30,GATEG,kirilim,22.6,1.05,370.0,21108.0,2026-01-30,358.9,stop,-3.03,-640.0,0.0,
2026-01-30,GENIL,dip,13.1,0.119,8.2733,21108.0,2026-01-30,8.0251,stop,-3.03,-640.0,0.0,
2026-01-30,TEKTU,dip,7.8,0.194,9.3,21108.0,2026-01-30,9.579,hedef,2.97,626.0,5.27,
2026-02-03,DERHL,dip,9.2,0.02,16.04,101412.0,2026-02-03,16.5212,hedef,2.97,3009.0,3.12,
2026-02-04,BIGEN,dip,5.6,0.164,10.3,34807.0,2026-02-04,9.991,stop,-3.03,-1056.0,0.0,
