tarih,kat,grup,pos52,acilis,acilis_ciro_TL,secili,hisse
2026-07-27,21.8,orta,0.24,8.14,9977588,False,TUREX
2026-07-27,19.9,orta,0.23,27.74,3276232,False,BEYAZ
2026-07-27,18.5,orta,0.79,22.18,1451814,False,KMPUR
2026-07-27,15.6,DIP,0.18,9.09,1150003,True,ALKA
2026-07-27,14.4,DIP,0.12,16.71,1411176,True,ALKIM
2026-07-27,12.8,orta,0.32,13.9,4975129,False,BESLR
2026-07-27,11.2,orta,0.6,75.55,14064841,False,KORDS
2026-07-27,11.1,orta,0.6,9.55,407928,False,KRPLS
2026-07-27,11.0,orta,0.55,102.1,239626249,False,LIDER
2026-07-27,9.7,DIP,0.15,2.68,556073,True,CONSE
2026-07-27,7.9,orta,0.36,34.84,853440,False,YATAS
2026-07-27,7.6,orta,0.31,117.2,2667940,False,BVSAN
2026-07-27,7.6,orta,0.5,7.7,539862,False,PRDGS
2026-07-27,7.5,orta,0.34,3.85,555012,False,MHRGY
2026-07-27,6.7,orta,0.22,14.0,383586,False,PENTA
2026-07-27,6.4,orta,0.77,154.3,898180,False,KUVVA
2026-07-27,6.3,orta,0.26,35.0,1887130,False,FRMPL
2026-07-27,5.4,orta,0.35,27.5,323730,False,CUSAN
2026-07-27,5.2,orta,0.2,1720.0,2757160,False,CMBTN
