tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-01-21,TURGG,dipkir,dip,12.6,0.149,27.16,15dk,hedef,27.9748,16:30,2.97,6.92,-1.47,17:45,13:45,29.04,26.76
2026-01-21,VSNMD,dipkir,dip,17.9,0.077,104.0,15dk,stop,100.88,10:15,-3.03,2.6,-12.31,10:00,18:00,106.7,91.2
2026-01-22,ESEN,dipkir,dip,9.3,0.114,5.7,15dk,stop,5.529,10:15,-3.03,0.0,-9.65,10:00,18:00,5.7,5.15
2026-01-23,CEMAS,dipkir,dip,14.5,0.178,4.29,15dk,stop,4.1613,10:45,-3.03,5.83,-4.43,14:30,10:45,4.54,4.1
2026-01-23,DERHL,dipkir,dip,17.5,0.01,14.42,15dk,stop,13.9874,10:15,-3.03,4.23,-6.93,16:00,10:45,15.03,13.42
2026-01-23,IHYAY,dipkir,dip,7.0,0.067,2.01,15dk,hedef,2.0703,13:30,2.97,3.98,-1.49,16:30,11:15,2.09,1.98
2026-01-26,BIZIM,dipkir,kirilim,6.1,1.0,31.0,15dk,hedef,31.93,10:00,2.97,5.42,-0.19,10:00,10:00,32.68,30.94
2026-01-26,DERHL,dipkir,dip,5.7,0.01,14.4,15dk,hedef,14.832,11:45,2.97,3.61,-3.06,11:45,17:45,14.92,13.96
2026-01-26,KERVN,dipkir,dip,5.4,0.1,1.91,1dk,hedef,1.9673,12:55,2.97,10.47,9.95,13:55,18:08,2.11,2.1
2026-01-26,KRDMA,dipkir,dip,6.9,0.105,27.0,15dk,hedef,27.81,10:30,2.97,4.3,-0.3,15:00,10:00,28.16,26.92
2026-01-26,TRILC,dipkir,dip,7.2,0.185,2.83978258,15dk,hedef,2.925,10:00,2.97,7.14,-0.44,10:00,10:00,3.0426,2.8273
2026-01-26,TUREX,dipkir,dip,10.0,0.021,7.8,15dk,gun_sonu,7.69,18:00,-1.44,1.15,-2.31,10:30,10:15,7.89,7.62
2026-01-27,SANFM,dipkir,dip,24.7,0.175,7.97,15dk,stop,7.7309,10:15,-3.03,1.25,-6.52,10:00,10:15,8.07,7.45
2026-01-28,ESCAR,dipkir,dip,10.3,0.109,25.0,15dk,hedef,25.75,10:15,2.97,5.76,-0.72,12:45,10:00,26.44,24.82
2026-01-28,TUREX,dipkir,dip,5.3,0.032,8.28,15dk,stop,8.0316,11:15,-3.03,0.0,-4.71,10:00,12:30,8.28,7.89
2026-01-29,BIGEN,dipkir,dip,7.3,0.1,9.62,15dk,gun_sonu,9.39,18:00,-2.42,2.18,-2.39,10:00,18:00,9.83,9.39
2026-01-29,ERBOS,dipkir,kirilim,10.8,1.0,215.0,15dk,gun_sonu,212.9,18:00,-1.01,2.14,-1.77,10:00,17:45,219.6,211.2
2026-01-29,ISFIN,dipkir,kirilim,51.2,1.044,21.0,15dk,gun_sonu,21.26,18:00,1.21,2.95,-3.81,17:30,10:00,21.62,20.2
2026-01-30,GATEG,dipkir,kirilim,64.2,1.057,372.0,1dk,stop,360.84,13:55,-3.03,-0.54,-7.33,12:55,18:08,370.0,344.75
2026-01-30,GENIL,dipkir,dip,51.1,0.17,8.6599134,15dk,hedef,8.9197,10:00,2.97,3.23,-8.93,10:00,11:15,8.9399,7.8866
2026-02-02,GENIL,dipkir,dip,14.7,0.134,8.3865828,15dk,gun_sonu,8.2599,18:00,-1.54,0.56,-3.74,10:30,10:00,8.4332,8.0733
2026-02-02,HUNER,dipkir,dip,7.5,0.067,3.2,15dk,hedef,3.296,14:30,2.97,4.06,-0.31,17:45,10:00,3.33,3.19
2026-02-02,TEZOL,dipkir,dip,6.5,0.118,12.79,15dk,gun_sonu,12.84,18:00,0.36,0.86,-1.56,15:00,11:00,12.9,12.59
2026-02-03,DERHL,dipkir,dip,11.1,0.018,15.72,15dk,hedef,16.1916,10:15,2.97,9.73,-1.72,18:00,10:00,17.25,15.45
2026-02-04,ACSEL,dipkir,dip,7.6,0.185,101.5,15dk,hedef,104.545,11:00,2.97,5.32,0.2,17:15,10:00,106.9,101.7
2026-02-04,CMBTN,dipkir,dip,5.4,0.104,1899.0,15dk,gun_sonu,1899.0,18:00,-0.03,1.11,-0.26,16:45,11:00,1920.0,1894.0
2026-02-04,DERHL,dipkir,dip,7.3,0.028,17.3,15dk,hedef,17.819,10:00,2.97,6.18,-10.23,11:45,17:15,18.37,15.53
2026-02-04,ESCAR,dipkir,dip,13.0,0.142,27.0,15dk,gun_sonu,26.74,18:00,-1.0,0.96,-1.33,11:00,10:15,27.26,26.64
2026-02-04,RAYSG,dipkir,dip,10.0,0.084,232.0,15dk,stop,225.04,12:15,-3.03,-0.43,-3.1,10:00,12:45,231.0,224.8
2026-02-05,DYOBY,dipkir,dip,6.2,0.127,14.2,15dk,hedef,14.626,10:00,2.97,5.56,-0.56,10:30,10:00,14.99,14.12
2026-02-06,LINK,dipkir,dip,5.4,0.057,5.753601,15dk,hedef,5.9262,10:00,2.97,3.65,-1.74,10:30,17:15,5.9634,5.6536
2026-02-09,ARENA,dipkir,dip,34.3,0.069,28.0,15dk,gun_sonu,28.08,18:00,0.25,1.71,-0.5,10:00,10:00,28.48,27.86
2026-02-09,BANVT,dipkir,dip,5.1,0.076,168.7,15dk,hedef,173.761,16:00,2.97,5.22,-0.12,17:45,10:00,177.5,168.5
2026-02-09,EMKEL,dipkir,dip,11.4,0.062,22.58,15dk,hedef,23.2574,10:00,2.97,3.19,-4.96,10:00,11:45,23.3,21.46
2026-02-09,MERCN,dipkir,dip,5.8,0.127,18.0,15dk,gun_sonu,18.44,18:00,2.41,2.44,-1.61,18:00,10:15,18.44,17.71
2026-02-09,SUWEN,dipkir,dip,17.5,0.111,8.75,15dk,gun_sonu,8.68,18:00,-0.83,0.8,-2.17,10:00,12:00,8.82,8.56
2026-02-09,TEKTU,dipkir,dip,13.7,0.195,9.33,15dk,hedef,9.6099,10:30,2.97,6.54,-1.61,16:15,10:00,9.94,9.18
2026-02-10,CMBTN,dipkir,dip,5.1,0.161,1971.0,15dk,hedef,2030.13,10:00,2.97,4.67,-0.46,10:00,10:00,2063.0,1962.0
2026-02-10,MERCN,dipkir,dip,6.0,0.142,18.59,15dk,hedef,19.1477,10:00,2.97,9.09,-0.11,17:00,10:00,20.28,18.57
2026-02-10,TTRAK,dipkir,dip,6.1,0.197,580.5,15dk,stop,563.085,17:45,-3.03,0.78,-3.36,10:00,18:00,585.0,561.0
2026-02-11,DYOBY,dipkir,dip,11.9,0.199,15.39,15dk,hedef,15.8517,10:15,2.97,3.44,-2.21,10:15,18:00,15.92,15.05
2026-02-11,GZNMI,dipkir,dip,7.8,0.045,54.45,15dk,hedef,56.0835,10:00,2.97,5.79,-6.61,10:00,17:00,57.6,50.85
2026-02-11,MARKA,dipkir,dip,11.6,0.156,39.64,15dk,stop,38.4508,10:15,-3.03,0.45,-6.86,13:15,17:15,39.82,36.92
2026-02-11,PKENT,dipkir,dip,40.0,0.153,169.9,15dk,hedef,174.997,10:00,2.97,5.06,-4.94,10:45,17:15,178.5,161.5
2026-02-12,VSNMD,dipkir,dip,13.1,0.065,94.0,15dk,hedef,96.82,11:30,2.97,4.15,-1.49,11:30,15:00,97.9,92.6
2026-02-13,GEREL,dipkir,kirilim,9.0,1.004,27.44,15dk,stop,26.6168,10:15,-3.03,2.77,-8.97,15:45,11:00,28.2,24.98
2026-02-13,GZNMI,dipkir,dip,12.4,0.056,57.75,15dk,hedef,59.4825,10:00,2.97,6.93,-0.69,18:00,10:00,61.75,57.35
2026-02-13,QUAGR,dipkir,dip,8.8,0.071,3.09,15dk,hedef,3.1827,10:00,2.97,9.71,-0.32,18:00,10:00,3.39,3.08
2026-02-13,YAPRK,dipkir,dip,25.9,0.094,14.3571285,15dk,hedef,14.7878,10:00,2.97,7.38,-0.5,18:00,10:00,15.4167,14.2857
2026-02-16,ALBRK,dipkir,kirilim,19.3,1.043,10.25,15dk,gun_sonu,10.28,18:00,0.26,2.83,-1.37,10:00,15:45,10.54,10.11
2026-02-16,BIENY,dipkir,dip,6.7,0.155,27.2,15dk,hedef,28.016,10:00,2.97,3.6,-2.87,10:00,18:00,28.18,26.42
2026-02-16,CEOEM,dipkir,dip,6.7,0.09,23.1,15dk,hedef,23.793,14:30,2.97,4.76,0.09,14:45,10:00,24.2,23.12
2026-02-16,EKGYO,dipkir,kirilim,5.0,1.026,26.5,15dk,gun_sonu,26.04,18:00,-1.77,2.34,-2.57,10:00,16:30,27.12,25.82
2026-02-16,GZNMI,dipkir,dip,12.1,0.081,65.05,15dk,hedef,67.0015,10:00,2.97,4.38,-5.0,18:00,13:45,67.9,61.8
2026-02-16,HLGYO,dipkir,kirilim,8.0,1.056,5.0,15dk,hedef,5.15,10:00,2.97,4.2,-1.0,10:00,11:00,5.21,4.95
2026-02-16,IHLAS,dipkir,dip,14.3,0.18,1.86973426,15dk,stop,1.8136,11:00,-3.03,2.86,-3.27,17:15,11:00,1.9232,1.8087
2026-02-16,IHYAY,dipkir,dip,16.3,0.059,1.97,15dk,gun_sonu,1.99,18:00,0.98,2.54,0.0,10:00,15:00,2.02,1.97
2026-02-16,OZKGY,dipkir,kirilim,12.7,1.016,16.1,15dk,gun_sonu,16.24,18:00,0.84,1.68,-1.12,10:00,16:30,16.37,15.92
