giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,dakika
2026-01-02,ARENA,dip,7.0,0.096,28.8,9091.0,2026-01-05,27.936,stop,-3.03,-276.0,2.36,
2026-01-02,AVPGY,dip,3.5,0.091,51.5,9091.0,2026-01-06,53.045,hedef,2.97,270.0,3.01,
2026-01-02,BIENY,dip,3.3,0.043,25.6,9091.0,2026-01-02,26.368,hedef,2.97,270.0,6.48,
2026-01-02,BMSCH,kirilim,6.5,0.96,30.4,9091.0,2026-01-02,31.312,hedef,2.97,270.0,8.55,
2026-01-02,EMKEL,dip,3.0,0.182,35.44,9091.0,2026-01-02,34.3768,stop,-3.03,-276.0,1.07,
2026-01-02,ESCAR,dip,3.3,0.116,25.44,9091.0,2026-01-05,24.6768,stop,-3.03,-276.0,2.59,
2026-01-02,MARKA,dip,4.6,0.137,38.92,9091.0,2026-01-02,37.7524,stop,-3.03,-276.0,0.77,
2026-01-02,MARTI,dip,3.1,0.095,1.7653,9091.0,2026-01-05,1.8183,hedef,2.97,270.0,3.27,
2026-01-02,PKENT,dip,7.1,0.031,183.0,9091.0,2026-01-02,188.49,hedef,2.97,270.0,5.41,
2026-01-02,SMRVA,dip,4.1,0.163,20.7673,9091.0,2026-01-02,21.3903,hedef,2.97,270.0,3.79,
2026-01-02,TTRAK,dip,3.1,0.027,519.5,9091.0,2026-01-06,535.085,hedef,2.97,270.0,3.08,
2026-01-05,ALCAR,dip,7.4,0.102,869.5,2040.0,2026-01-08,843.415,stop,-3.03,-62.0,1.38,
2026-01-05,BESLR,dip,4.9,0.097,12.61,2040.0,2026-01-15,12.9883,hedef,2.97,61.0,3.49,
2026-01-05,BIENY,dip,11.6,0.03,25.26,2040.0,2026-01-07,24.5022,stop,-3.03,-62.0,1.35,
2026-01-05,DGGYO,dip,3.5,0.173,31.58,2040.0,2026-01-20,32.5274,hedef,2.97,61.0,4.37,
2026-01-05,EDATA,kirilim,5.1,0.909,6.81,2040.0,2026-01-05,6.6057,stop,-3.03,-62.0,0.0,
2026-01-05,EMNIS,dip,3.8,0.017,161.8,2040.0,2026-01-07,166.654,hedef,2.97,61.0,3.83,
2026-01-05,ESCAR,dip,9.5,0.118,25.54,2040.0,2026-01-05,24.7738,stop,-3.03,-62.0,0.39,
2026-01-05,ESEN,dip,4.1,0.098,4.9,2040.0,2026-01-05,5.047,hedef,2.97,61.0,3.27,
2026-01-05,FENER,dip,4.0,0.182,3.7,2040.0,2026-01-05,3.589,stop,-3.03,-62.0,0.0,
2026-01-05,GOKNR,dip,5.0,0.09,20.0,2040.0,2026-01-09,20.6,hedef,2.97,61.0,4.1,
2026-01-05,GZNMI,dip,6.0,0.035,58.0,2040.0,2026-01-05,59.74,hedef,2.97,61.0,3.62,
2026-01-05,HKTM,dip,4.5,0.176,11.49,2040.0,2026-01-23,11.8347,hedef,2.97,61.0,3.22,
2026-01-05,IHLAS,dip,3.3,0.184,2.46,2040.0,2026-01-05,2.3862,stop,-3.03,-62.0,0.41,
2026-01-05,ISSEN,dip,7.8,0.195,7.35,2040.0,2026-01-26,7.5705,hedef,2.97,61.0,4.22,
2026-01-05,JANTS,dip,22.6,0.169,20.58,2040.0,2026-01-05,21.1974,hedef,2.97,61.0,3.89,
2026-01-05,KARSN,dip,4.1,0.173,9.43,2040.0,2026-01-08,9.1471,stop,-3.03,-62.0,1.38,
2026-01-05,KCAER,dip,3.9,0.089,10.51,2040.0,2026-01-07,10.8253,hedef,2.97,61.0,3.9,
2026-01-05,MARKA,dip,6.1,0.19,41.0,2040.0,2026-01-05,39.77,stop,-3.03,-62.0,0.0,
2026-01-05,MARTI,dip,3.9,0.135,1.8231,2040.0,2026-01-05,1.7684,stop,-3.03,-62.0,0.0,
2026-01-05,NATEN,dip,3.2,0.121,8.97,2040.0,2026-01-05,8.7009,stop,-3.03,-62.0,0.0,
2026-01-05,PKENT,dip,4.8,-0.02,168.5,2040.0,2026-01-05,163.445,stop,-3.03,-62.0,0.0,
2026-01-05,QUAGR,dip,20.5,0.039,2.92,2040.0,2026-01-05,2.8324,stop,-3.03,-62.0,0.0,
2026-01-05,RAYSG,dip,4.3,0.022,220.8,2040.0,2026-01-07,227.424,hedef,2.97,61.0,6.66,
2026-01-05,SARKY,kirilim,3.1,1.079,19.27,2040.0,2026-01-05,19.8481,hedef,2.97,61.0,3.27,
2026-01-05,SDTTR,dip,3.6,0.168,186.1,2040.0,2026-01-05,191.683,hedef,2.97,61.0,4.78,
2026-01-05,SONME,kirilim,10.0,0.992,185.0,2040.0,2026-01-05,179.45,stop,-3.03,-62.0,2.11,
2026-01-05,TRILC,dip,3.8,0.03,2.5199,2040.0,2026-01-07,2.5955,hedef,2.97,61.0,4.95,
2026-01-06,ALGYO,kirilim,4.6,1.1,5.0971,5206.0,2026-01-07,4.9442,stop,-3.03,-158.0,1.23,
2026-01-06,EDATA,kirilim,3.4,1.056,7.52,5206.0,2026-01-07,7.7456,hedef,2.97,154.0,7.58,
2026-01-06,ESCAR,dip,5.5,0.103,24.64,5206.0,2026-01-06,25.3792,hedef,2.97,154.0,3.17,
2026-01-06,FENER,dip,4.1,-0.04,3.19,5206.0,2026-01-07,3.0943,stop,-3.03,-158.0,0.0,
2026-01-06,HALKB,kirilim,4.1,1.047,43.08,5206.0,2026-01-07,44.3724,hedef,2.97,154.0,3.76,
2026-01-06,IEYHO,kirilim,3.4,1.002,69.05,5206.0,2026-01-13,71.1215,hedef,2.97,154.0,3.33,
2026-01-06,ODINE,kirilim,20.0,0.996,323.0,5206.0,2026-01-08,313.31,stop,-3.03,-158.0,0.7,
2026-01-06,SARKY,kirilim,7.0,1.139,21.34,5206.0,2026-01-07,21.9802,hedef,2.97,154.0,3.66,
2026-01-06,TCKRC,kirilim,3.4,1.131,68.0,5206.0,2026-01-07,70.04,hedef,2.97,154.0,3.09,
2026-01-06,TKFEN,dip,4.6,0.139,73.45,5206.0,2026-01-08,71.2465,stop,-3.03,-158.0,1.7,
2026-01-06,VAKBN,kirilim,3.7,0.99,33.44,5206.0,2026-01-09,32.4368,stop,-3.03,-158.0,1.61,
2026-01-07,AHSGY,kirilim,3.2,1.028,18.05,1204.0,2026-01-07,18.5915,hedef,2.97,36.0,3.71,
2026-01-07,ALCAR,dip,3.1,0.116,878.0,1204.0,2026-01-07,851.66,stop,-3.03,-37.0,0.28,
2026-01-07,BYDNR,kirilim,3.4,1.032,29.02,1204.0,2026-01-08,29.8906,hedef,2.97,36.0,5.58,
2026-01-07,CMBTN,dip,6.2,0.194,2014.0,1204.0,2026-01-08,1953.58,stop,-3.03,-37.0,1.94,
2026-01-07,COSMO,kirilim,7.6,1.014,300.0,1204.0,2026-01-08,291.0,stop,-3.03,-37.0,3.08,
2026-01-07,DGNMO,dip,4.9,0.04,4.94,1204.0,2026-01-08,4.7918,stop,-3.03,-37.0,0.2,
2026-01-07,FENER,dip,4.2,0.004,3.12,1204.0,2026-01-07,3.2136,hedef,2.97,36.0,3.53,
2026-01-07,FORTE,kirilim,16.6,0.999,90.1,1204.0,2026-01-07,92.803,hedef,2.97,36.0,3.22,
2026-01-07,GRTHO,dip,3.6,0.188,251.25,1204.0,2026-01-07,258.7875,hedef,2.97,36.0,3.48,
2026-01-07,HATEK,dip,3.1,0.164,15.46,1204.0,2026-01-07,14.9962,stop,-3.03,-37.0,1.75,
2026-01-07,KCAER,dip,8.8,0.117,10.7,1204.0,2026-01-07,10.379,stop,-3.03,-37.0,1.21,
2026-01-07,KRGYO,dip,15.0,0.133,3.09,1204.0,2026-01-07,2.9973,stop,-3.03,-37.0,0.0,
2026-01-07,MARTI,dip,3.2,0.099,1.7717,1204.0,2026-01-08,1.7186,stop,-3.03,-37.0,1.81,
2026-01-07,NATEN,dip,3.7,0.174,9.54,1204.0,2026-01-08,9.2538,stop,-3.03,-37.0,0.0,
2026-01-07,RAYSG,dip,3.6,0.04,231.4,1204.0,2026-01-07,224.458,stop,-3.03,-37.0,1.56,
2026-01-07,RUBNS,kirilim,3.5,0.991,29.12,1204.0,2026-01-08,28.2464,stop,-3.03,-37.0,0.0,
