tarih,kat,grup,pos52,acilis,acilis_ciro_TL,secili,hisse
2026-06-11,54.0,orta,0.52,21.78,5850696,False,DNISI
2026-06-11,19.3,orta,0.24,15.11,2404665,False,GOODY
2026-06-11,18.2,DIP,-0.04,1.35,35470688,True,TRILC
2026-06-11,9.0,orta,0.5,85.15,819398,False,BRISA
2026-06-11,8.9,tepe(eski),0.99,67.15,53260291,False,BARMA
2026-06-11,8.5,orta,0.63,64.8,9645804,False,OFSYM
2026-06-11,7.3,DIP,0.2,3.22,17884337,False,KZBGY
2026-06-11,6.5,orta,0.58,4.03,53982688,False,RTALB
2026-06-11,6.4,orta,0.34,8.06,246233,False,BRKSN
2026-06-11,6.3,orta,0.21,2.93,1432767,False,KRGYO
2026-06-11,5.8,orta,0.36,1.98,10855896,False,MERKO
2026-06-11,5.6,orta,0.48,12.64,13618854,False,ANGEN
