giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-06,1.8666,hedef,1.97,1967.0,2.19
2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,101967.0,2026-05-12,222.258,hedef,1.97,2006.0,2.34
2026-05-14,ALCAR,dip,32.9,0.183,771.5,103973.0,2026-05-18,748.355,stop,-3.03,-3153.0,1.88
2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,50410.0,2026-05-20,7.548,hedef,1.97,992.0,2.03
2026-05-20,LKMNH,dip,17.0,0.169,15.2,50410.0,2026-05-20,15.504,hedef,1.97,992.0,3.09
2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,17134.0,2026-05-21,50.634,stop,-3.03,-520.0,0.0
2026-05-21,BIGTK,dip,56.0,0.018,211.5,17134.0,2026-05-21,215.73,hedef,1.97,337.0,2.08
2026-05-21,DAPGM,dip,6.2,0.124,9.77,17134.0,2026-05-21,9.9654,hedef,1.97,337.0,2.25
2026-05-21,GUNDG,kirilim,5.1,1.103,1097.0,17134.0,2026-05-21,1064.09,stop,-3.03,-520.0,0.0
2026-05-21,VERUS,kirilim,5.7,0.979,571.5,17134.0,2026-05-21,582.93,hedef,1.97,337.0,2.01
2026-05-21,VRGYO,dip,5.4,0.056,2.21,17134.0,2026-05-21,2.1437,stop,-3.03,-520.0,0.45
2026-05-22,ALVES,dip,8.0,0.106,2.6,17042.0,2026-05-22,2.652,hedef,1.97,335.0,4.62
2026-05-22,KOPOL,dip,44.1,0.131,5.03,17042.0,2026-05-22,5.1306,hedef,1.97,335.0,9.54
2026-05-22,NTHOL,dip,5.6,-0.047,35.12,17042.0,2026-05-22,35.8224,hedef,1.97,335.0,2.28
2026-05-22,VERTU,dip,6.6,0.181,35.02,17042.0,2026-05-22,35.7204,hedef,1.97,335.0,5.6
2026-05-22,VERUS,kirilim,10.4,0.967,573.0,17042.0,2026-05-22,584.46,hedef,1.97,335.0,4.71
2026-05-22,ZRGYO,dip,6.9,-0.064,16.78,17042.0,2026-05-22,17.1156,hedef,1.97,335.0,3.75
2026-05-25,CEMTS,dip,6.9,0.18,10.35,52133.0,2026-05-25,10.557,hedef,1.97,1025.0,2.03
2026-05-25,DURDO,kirilim,23.5,0.907,5.0,52133.0,2026-05-25,5.1,hedef,1.97,1025.0,2.4
2026-06-01,HRKET,kirilim,6.3,1.1,96.5,106317.0,2026-06-02,98.43,hedef,1.97,2091.0,3.63
2026-06-03,CGCAM,kirilim,6.6,0.899,46.42,54204.0,2026-06-03,47.3484,hedef,1.97,1066.0,2.63
2026-06-03,KARTN,kirilim,7.7,0.981,130.3,54204.0,2026-06-03,132.906,hedef,1.97,1066.0,3.07
2026-06-04,TUREX,dip,5.1,0.155,9.2,110540.0,2026-06-04,9.384,hedef,1.97,2174.0,2.61
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,56357.0,2026-06-05,1626.9,hedef,1.97,1109.0,2.63
2026-06-05,EMKEL,dip,9.8,0.071,25.96,56357.0,2026-06-05,25.1812,stop,-3.03,-1709.0,0.15
2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,28028.0,2026-06-08,26.52,hedef,1.97,551.0,6.46
2026-06-08,DERHL,dip,7.5,0.033,14.2,28028.0,2026-06-08,13.774,stop,-3.03,-850.0,0.28
2026-06-08,POLTK,dip,9.1,0.067,5270.0,28028.0,2026-06-08,5111.9,stop,-3.03,-850.0,0.05
2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,28028.0,2026-06-08,7.8182,stop,-3.03,-850.0,0.5
