tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-06-26,ATSYH,dipkir,kirilim,5.4,1.077,108.0,1dk,hedef,111.24,12:55,2.97,5.19,2.78,13:55,18:09,113.6,111.0
2026-06-29,BMSCH,dipkir,dip,86.2,0.115,14.98,1dk,gun_sonu,14.7,18:09,-1.9,2.14,-2.0,10:05,17:59,15.3,14.68
2026-06-29,FORMT,dipkir,dip,5.3,0.085,2.24,1dk,gun_sonu,2.22,18:08,-0.93,1.34,-1.34,11:13,16:23,2.27,2.21
2026-06-29,ISGYO,dipkir,kirilim,8.1,0.998,27.4,1dk,stop,26.578,10:21,-3.03,2.41,-10.15,10:00,18:09,28.06,24.62
2026-06-29,KOCMT,dipkir,kirilim,6.8,1.0,3.32,1dk,gun_sonu,3.35,18:09,0.87,2.41,-1.2,10:27,10:00,3.4,3.28
2026-06-29,KUTPO,dipkir,dip,5.5,0.175,87.5,1dk,gun_sonu,87.2,18:08,-0.38,1.66,-2.91,10:18,16:35,88.95,84.95
2026-06-29,MARMR,dipkir,dip,14.0,0.189,2.72,1dk,stop,2.6384,10:20,-3.03,0.0,-9.93,17:24,17:53,2.72,2.45
2026-06-29,VESBE,dipkir,dip,48.8,0.112,6.99,1dk,hedef,7.1997,10:00,2.97,5.87,-0.14,18:08,10:00,7.4,6.98
2026-06-29,VSNMD,dipkir,dip,5.5,0.038,101.8,1dk,hedef,104.854,10:48,2.97,7.17,-0.79,17:10,10:07,109.1,101.0
2026-06-30,FORMT,dipkir,dip,12.1,0.066,2.19,1dk,gun_sonu,2.19,18:08,-0.03,0.46,-0.91,17:59,10:00,2.2,2.17
2026-06-30,KOCMT,dipkir,kirilim,7.5,1.032,3.44,1dk,hedef,3.5432,10:00,2.97,6.98,0.0,18:09,10:00,3.68,3.44
2026-06-30,KRONT,dipkir,kirilim,18.9,0.95,24.0,1dk,hedef,24.72,16:21,2.97,5.33,-3.08,16:36,10:03,25.28,23.26
2026-06-30,PKENT,dipkir,dip,5.6,0.034,146.3,1dk,gun_sonu,146.0,18:08,-0.24,1.78,-0.55,10:15,17:58,148.9,145.5
2026-06-30,VESBE,dipkir,dip,15.4,0.195,7.69,1dk,stop,7.4593,10:15,-3.03,0.78,-13.39,10:00,18:09,7.75,6.66
