tarih,hisse,tip,grup,kat,pos52,acilis,gun_yuksek_%,en_yuksek_%,barem,stop,bar_sayisi
2026-05-25,KZBGY,kontrol,dip,0.65,0.086,2.95,9.15,9.15,+5%+,False,468
2026-06-01,KZBGY,kontrol,dip,0.36,0.188,3.2,0.63,0.63,stop/<1%,False,453
2026-06-02,KZBGY,kontrol,dip,0.11,0.163,3.14,0.96,0.96,stop/<1%,False,475
2026-06-03,KZBGY,kontrol,dip,0.17,0.147,3.1,0.32,0.32,stop/<1%,True,446
2026-06-04,KZBGY,kontrol,dip,0.11,0.114,3.02,0.99,0.99,stop/<1%,False,473
2026-06-05,KZBGY,kontrol,dip,0.09,0.102,2.99,1.34,1.34,+1%,False,432
2026-05-18,LINK,kontrol,dip,0.29,0.101,6.3,2.22,2.22,+2%,False,483
2026-05-20,LINK,kontrol,dip,0.2,0.101,6.3,6.03,6.03,+5%+,False,484
2026-05-21,LINK,kontrol,dip,0.31,0.109,6.41,2.18,2.18,+2%,True,457
2026-05-22,LINK,kontrol,dip,0.47,0.054,5.66,13.25,13.25,+5%+,False,484
2026-05-25,LINK,kontrol,dip,0.4,0.111,6.44,9.32,9.32,+5%+,False,466
2026-06-04,LINK,kontrol,dip,0.08,0.194,7.59,3.29,3.29,+3%,True,474
2026-06-05,LINK,kontrol,dip,0.03,0.17,7.26,4.68,4.68,+4%,False,484
2026-05-20,LKMNH,sinyal,dip,16.96,0.169,15.2,5.2,5.2,+5%+,False,471
2026-05-22,LOGO,kontrol,dip,1.26,0.165,139.9,8.22,8.22,+5%+,False,468
2026-05-14,LRSHO,kontrol,dip,0.43,0.133,3.88,0.26,0.26,stop/<1%,True,208
2026-05-18,LRSHO,kontrol,dip,0.8,0.084,3.66,0.55,0.55,stop/<1%,True,428
2026-05-20,LRSHO,kontrol,dip,1.96,0.066,3.58,2.23,2.23,+2%,False,442
2026-05-22,LRSHO,kontrol,dip,1.04,-0.009,3.24,8.02,8.02,+5%+,False,432
2026-05-25,LRSHO,kontrol,dip,0.62,0.057,3.5,2.86,2.86,+2%,False,354
2026-06-01,LRSHO,kontrol,dip,0.63,0.077,3.59,1.95,1.95,+1%,False,394
2026-06-05,LRSHO,kontrol,dip,0.43,0.029,3.37,0.59,0.59,stop/<1%,False,414
2026-06-05,MARKA,kontrol,taze_kirilim,0.34,0.921,63.0,10.56,10.56,+5%+,False,344
2026-05-22,MARTI,kontrol,dip,1.0,0.17,1.59,10.06,10.06,+5%+,False,467
2026-05-25,METRO,kontrol,taze_kirilim,1.49,0.972,7.44,3.09,3.09,+3%,False,414
2026-06-01,METRO,kontrol,taze_kirilim,0.34,0.946,7.39,5.14,5.14,+5%+,False,452
