giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,dakika
2026-01-02,ARENA,dip,7.0,0.096,28.8,6250.0,2026-01-05,27.936,stop,-3.03,-190.0,2.36,
2026-01-02,AVPGY,dip,3.5,0.091,51.5,6250.0,2026-01-06,53.045,hedef,2.97,185.0,3.01,
2026-01-02,BIENY,dip,2.6,0.057,26.0,6250.0,2026-01-02,26.78,hedef,2.97,185.0,4.85,
2026-01-02,BMSCH,kirilim,6.5,0.96,30.4,6250.0,2026-01-02,31.312,hedef,2.97,185.0,8.55,
2026-01-02,BTCIM,dip,2.3,0.196,3.82,6250.0,2026-01-07,3.7054,stop,-3.03,-190.0,1.31,
2026-01-02,ESCAR,dip,2.9,0.106,24.8,6250.0,2026-01-02,25.544,hedef,2.97,185.0,3.23,
2026-01-02,HKTM,dip,2.2,0.127,10.96,6250.0,2026-01-02,11.2888,hedef,2.97,185.0,3.19,
2026-01-02,KARTN,dip,2.9,0.07,79.4,6250.0,2026-01-15,81.782,hedef,2.97,185.0,3.46,
2026-01-02,KONYA,dip,2.6,0.037,4577.5,6250.0,2026-01-14,4440.175,stop,-3.03,-190.0,1.86,
2026-01-02,MARKA,dip,4.6,0.137,38.92,6250.0,2026-01-02,37.7524,stop,-3.03,-190.0,0.77,
2026-01-02,MARTI,dip,3.1,0.095,1.7653,6250.0,2026-01-05,1.8183,hedef,2.97,185.0,3.27,
2026-01-02,NATEN,dip,2.4,0.094,8.68,6250.0,2026-01-02,8.9404,hedef,2.97,185.0,3.23,
2026-01-02,PKENT,dip,7.1,0.031,183.0,6250.0,2026-01-02,188.49,hedef,2.97,185.0,5.41,
2026-01-02,SASA,dip,2.5,0.08,2.9,6250.0,2026-01-07,2.813,stop,-3.03,-190.0,1.72,
2026-01-02,SMRVA,dip,4.1,0.163,20.7673,6250.0,2026-01-02,21.3903,hedef,2.97,185.0,3.79,
2026-01-02,TTRAK,dip,3.1,0.027,519.5,6250.0,2026-01-06,535.085,hedef,2.97,185.0,3.08,
2026-01-05,ALCAR,dip,7.4,0.102,869.5,1022.0,2026-01-08,843.415,stop,-3.03,-31.0,1.38,
2026-01-05,ALTNY,dip,2.1,0.12,15.48,1022.0,2026-01-09,15.9444,hedef,2.97,30.0,4.91,
2026-01-05,ANELE,dip,2.4,0.164,15.75,1022.0,2026-01-09,16.2225,hedef,2.97,30.0,5.46,
2026-01-05,ARENA,dip,2.1,0.075,28.2,1022.0,2026-01-07,27.354,stop,-3.03,-31.0,1.35,
2026-01-05,AVPGY,dip,2.7,0.113,51.95,1022.0,2026-01-09,53.5085,hedef,2.97,30.0,3.18,
2026-01-05,BEGYO,dip,2.2,0.024,5.0,1022.0,2026-01-07,4.85,stop,-3.03,-31.0,2.6,
2026-01-05,BESLR,dip,4.9,0.097,12.61,1022.0,2026-01-15,12.9883,hedef,2.97,30.0,3.49,
2026-01-05,BIENY,dip,11.6,0.03,25.26,1022.0,2026-01-07,24.5022,stop,-3.03,-31.0,1.35,
2026-01-05,BOBET,dip,2.2,0.18,19.62,1022.0,2026-01-05,20.2086,hedef,2.97,30.0,3.67,
2026-01-05,BORLS,dip,2.3,0.004,4.0,1022.0,2026-01-06,4.12,hedef,2.97,30.0,5.0,
2026-01-05,CMBTN,dip,2.8,0.15,1957.0,1022.0,2026-01-07,2015.71,hedef,2.97,30.0,3.99,
2026-01-05,DCTTR,dip,2.7,0.124,9.06,1022.0,2026-01-05,8.7882,stop,-3.03,-31.0,0.0,
2026-01-05,DGGYO,dip,3.5,0.173,31.58,1022.0,2026-01-20,32.5274,hedef,2.97,30.0,4.37,
2026-01-05,EDATA,kirilim,2.5,0.904,6.79,1022.0,2026-01-05,6.9937,hedef,2.97,30.0,7.51,
2026-01-05,EMKEL,dip,2.5,0.157,32.52,1022.0,2026-01-05,31.5444,stop,-3.03,-31.0,1.29,
2026-01-05,EMNIS,dip,3.8,0.017,161.8,1022.0,2026-01-07,166.654,hedef,2.97,30.0,3.83,
2026-01-05,ESCAR,dip,9.5,0.118,25.54,1022.0,2026-01-05,24.7738,stop,-3.03,-31.0,0.39,
2026-01-05,ESEN,dip,4.1,0.098,4.9,1022.0,2026-01-05,5.047,hedef,2.97,30.0,3.27,
2026-01-05,FENER,dip,4.0,0.182,3.7,1022.0,2026-01-05,3.589,stop,-3.03,-31.0,0.0,
2026-01-05,GOKNR,dip,5.0,0.09,20.0,1022.0,2026-01-09,20.6,hedef,2.97,30.0,4.1,
2026-01-05,GOLTS,dip,2.5,0.1,319.0,1022.0,2026-01-08,328.57,hedef,2.97,30.0,3.06,
2026-01-05,GZNMI,dip,6.0,0.035,58.0,1022.0,2026-01-05,59.74,hedef,2.97,30.0,3.62,
2026-01-05,HEKTS,dip,2.5,0.135,3.16,1022.0,2026-01-08,3.0652,stop,-3.03,-31.0,1.9,
2026-01-05,HKTM,dip,4.5,0.176,11.49,1022.0,2026-01-23,11.8347,hedef,2.97,30.0,3.22,
2026-01-05,IHLAS,dip,2.9,0.138,2.34,1022.0,2026-01-05,2.4102,hedef,2.97,30.0,3.42,
2026-01-05,IHYAY,dip,2.1,0.062,2.01,1022.0,2026-01-09,1.9497,stop,-3.03,-31.0,1.0,
2026-01-05,ISSEN,dip,7.8,0.195,7.35,1022.0,2026-01-26,7.5705,hedef,2.97,30.0,4.22,
2026-01-05,JANTS,dip,22.6,0.169,20.58,1022.0,2026-01-05,21.1974,hedef,2.97,30.0,3.89,
2026-01-05,KARSN,dip,4.1,0.173,9.43,1022.0,2026-01-08,9.1471,stop,-3.03,-31.0,1.38,
2026-01-05,KCAER,dip,3.9,0.089,10.51,1022.0,2026-01-07,10.8253,hedef,2.97,30.0,3.9,
2026-01-05,KNFRT,dip,2.5,0.157,11.83,1022.0,2026-01-06,11.4751,stop,-3.03,-31.0,2.37,
