tarih,kat,grup,pos52,acilis,acilis_ciro_TL,secili,hisse
2026-06-18,38.3,orta,0.48,50.65,2376852,False,OYYAT
2026-06-18,28.5,tepe(eski),1.01,13.62,9171680,False,BRMEN
2026-06-18,20.3,orta,0.76,48.18,2803353,False,BASGZ
2026-06-18,18.6,orta,0.25,31.84,2297447,False,TURGG
2026-06-18,14.9,orta,0.59,71.8,5068362,False,IZINV
2026-06-18,13.6,orta,0.31,19.66,2909797,False,PRKME
2026-06-18,11.9,DIP,0.2,25.64,2937062,True,YAYLA
2026-06-18,11.3,orta,0.62,97.3,13845206,False,BMSTL
2026-06-18,11.1,DIP,0.18,162.8,2748389,True,BANVT
2026-06-18,6.9,tepe(eski),1.02,45.8,8482389,False,AYEN
2026-06-18,6.4,DIP,0.02,1.22,8456852,False,IHLAS
2026-06-18,6.3,orta,0.59,4.51,7480894,False,INFO
2026-06-18,5.9,tepe(eski),0.83,15.0,5811975,False,BRKO
