grup,olay,gun,son_tl,getiri_%,win_%,hedef,stop,gun_sonu,ort_getiri_%,ort_max_%,ort_min_%,medyan_max_%,medyan_min_%
DIP+KIRILIM,50,18,126741.0,26.74,62.0,28,11,11,0.93,4.5,-3.57,,
ELENEN orta/tepe,176,22,99794.0,-0.21,45.5,70,74,32,-0.14,3.57,-4.32,2.58,-3.6
