tarih,kat,ilk_ret,getiri_net,sonuc,hisse
2026-04-30,13.727866040216107,0.0064102564102563875,-0.013369426751592355,kapanis,A1CAP
2026-05-04,9.882335274994512,0.04570848146267137,0.006598834385624148,kapanis,A1YEN
2026-05-08,8.927479083336133,-0.008704061895551285,0.043000000000000045,hedef,AAGYO
2026-05-05,10.29914447570234,0.06090225563909768,-0.037000000000000026,stop,ACSEL
2026-03-31,11.526530000088222,0.00273972602739736,0.043000000000000045,hedef,ADEL
2026-04-01,14.245681104442205,0.0448192771084337,-0.037000000000000026,stop,ADEL
2026-05-04,8.669406663962848,-0.004180602006689016,-0.037000000000000026,stop,ADGYO
2026-04-30,13.051798789823978,-0.009990009990009985,-0.037000000000000026,stop,AHSGY
2026-04-20,11.930477865253684,-0.0358744394618834,0.006488372093023226,kapanis,AKCNS
2026-05-22,8.340654212021798,0.02393075356415464,0.043000000000000045,hedef,AKCNS
2026-05-08,12.509653051743166,0.03799654576856648,-0.007,kapanis,AKENR
2026-05-11,12.671717388511963,0.021721641190667773,-0.037000000000000026,stop,AKENR
2026-06-05,8.24419257377001,0.05560382276281506,0.029213991769547205,kapanis,AKFYE
2026-06-05,10.185232414926949,-0.01715039577836408,-0.037000000000000026,stop,AKGRT
2026-06-03,15.478341440815383,-0.022920203735144362,-0.037000000000000026,stop,AKMGY
2026-04-16,9.587855572107541,0.06951530612244894,-0.036999999999999915,stop,ALCAR
2026-05-04,8.14574165156614,-0.0390977443609023,-0.037000000000000026,stop,ALCTL
2026-06-03,9.47396565349688,0.022280471821756187,-0.037000000000000026,stop,ALCTL
2026-04-30,9.824368556697692,0.02188552188552184,0.03583360790774293,kapanis,ALGYO
2026-04-08,19.400551268428952,-0.04927975739196366,-0.037000000000000026,stop,ALKA
2026-04-29,8.542682981975382,0.03322259136212624,-0.036999999999999915,stop,ALKLC
2026-04-01,67.32634040650686,-0.04139290407358742,0.043000000000000045,hedef,ANELE
2026-05-08,19.242242810025,0.060269627279936566,-0.007,kapanis,ANGEN
2026-05-11,12.372897933938988,0.007077140835102691,0.026028812368236072,kapanis,ANGEN
2026-06-01,9.281514850729174,0.0664365832614322,0.00028155339805836007,kapanis,ARASE
