giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-04-24,PRZMA,tepe,9.0,1.175,25.84,100000.0,2026-04-24,25.0648,stop,-3.63,-3633.0,0.0
2026-05-04,EUKYO,orta,43.7,0.751,6.99,48184.0,2026-05-04,7.1298,hedef,1.37,659.0,5.72
2026-05-04,KUVVA,orta,9.0,0.54,125.0,48184.0,2026-05-04,121.25,stop,-3.63,-1751.0,0.0
2026-05-05,MTRYO,orta,12.5,0.583,10.74,95275.0,2026-05-05,10.4178,stop,-3.63,-3461.0,0.0
2026-05-06,IHYAY,dip,9.0,0.106,1.83,91814.0,2026-05-06,1.8666,hedef,1.37,1255.0,2.19
2026-05-07,UFUK,orta,121.9,0.472,1482.0,93069.0,2026-05-08,1437.54,stop,-3.63,-3381.0,1.21
2026-05-11,IDGYO,orta,8.9,0.498,3.63,89688.0,2026-05-11,3.5211,stop,-3.63,-3258.0,0.0
2026-05-12,DMSAS,orta,10.7,0.303,9.08,43215.0,2026-05-12,9.2616,hedef,1.37,591.0,2.2
2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,43215.0,2026-05-12,222.258,hedef,1.37,591.0,2.34
2026-05-13,ETYAT,orta,10.1,0.711,8.0,87611.0,2026-05-13,8.16,hedef,1.37,1198.0,2.5
2026-05-14,ALCAR,dip,32.9,0.183,771.5,88808.0,2026-05-18,748.355,stop,-3.63,-3226.0,1.88
2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,7780.0,2026-05-20,7.548,hedef,1.37,106.0,2.03
2026-05-20,GUNDG,tepe,11.2,0.998,998.0,7780.0,2026-05-21,1017.96,hedef,1.37,106.0,9.92
2026-05-20,ICBCT,tepe,24.6,1.093,21.0,7780.0,2026-05-20,20.37,stop,-3.63,-283.0,0.67
2026-05-20,ISSEN,tepe,34.3,1.152,11.1,7780.0,2026-05-20,11.322,hedef,1.37,106.0,3.06
2026-05-20,KFEIN,orta,86.6,0.596,10.6,7780.0,2026-05-20,10.812,hedef,1.37,106.0,3.77
2026-05-20,LKMNH,dip,17.0,0.169,15.2,7780.0,2026-05-20,15.504,hedef,1.37,106.0,3.09
2026-05-20,PCILT,tepe,23.5,0.937,35.42,7780.0,2026-05-20,34.3574,stop,-3.63,-283.0,0.0
2026-05-20,SANFM,orta,17.3,0.574,8.35,7780.0,2026-05-20,8.517,hedef,1.37,106.0,2.87
2026-05-20,SMART,orta,8.8,0.726,36.76,7780.0,2026-05-20,37.4952,hedef,1.37,106.0,2.18
2026-05-20,UFUK,orta,11.3,0.449,1446.0,7780.0,2026-05-20,1402.62,stop,-3.63,-283.0,0.0
2026-05-20,VBTYZ,tepe,9.6,1.072,27.78,7780.0,2026-05-20,26.9466,stop,-3.63,-283.0,1.3
2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,19327.0,2026-05-21,50.634,stop,-3.63,-702.0,0.0
2026-05-21,BIGTK,dip,56.0,0.018,211.5,19327.0,2026-05-21,215.73,hedef,1.37,264.0,2.08
2026-05-21,GMTAS,tepe,18.4,0.863,48.42,19327.0,2026-05-21,46.9674,stop,-3.63,-702.0,0.0
2026-05-21,VERTU,orta,63.7,0.396,42.64,19327.0,2026-05-21,41.3608,stop,-3.63,-702.0,0.09
2026-05-22,ADGYO,orta,9.4,0.509,50.0,10419.0,2026-05-22,51.0,hedef,1.37,142.0,6.7
2026-05-22,AGYO,orta,9.1,0.507,8.08,10419.0,2026-05-22,8.2416,hedef,1.37,142.0,3.96
2026-05-22,CEMZY,orta,9.7,0.77,12.0,10419.0,2026-05-22,12.24,hedef,1.37,142.0,7.67
2026-05-22,INVES,orta,13.1,0.63,590.0,10419.0,2026-05-22,601.8,hedef,1.37,142.0,2.54
2026-05-22,KOPOL,dip,44.1,0.131,5.03,10419.0,2026-05-22,5.1306,hedef,1.37,142.0,9.54
2026-05-22,LUKSK,orta,10.6,0.233,90.1,10419.0,2026-05-22,91.902,hedef,1.37,142.0,8.6
2026-05-22,RYSAS,orta,10.2,0.577,19.06,10419.0,2026-05-22,19.4412,hedef,1.37,142.0,2.52
2026-05-22,VERUS,kirilim,10.4,0.967,573.0,10419.0,2026-05-22,584.46,hedef,1.37,142.0,4.71
2026-05-25,GUNDG,tepe,19.7,1.104,1303.0,84493.0,2026-05-25,1263.91,stop,-3.63,-3070.0,0.0
2026-06-01,IDGYO,orta,8.5,0.718,4.23,40712.0,2026-06-01,4.3146,hedef,1.37,557.0,2.84
2026-06-01,NUGYO,orta,8.1,0.509,10.41,40712.0,2026-06-01,10.0977,stop,-3.63,-1479.0,1.92
2026-06-02,DERHL,dip,8.1,0.047,15.42,40250.0,2026-06-02,15.7284,hedef,1.37,550.0,2.66
2026-06-02,PAMEL,orta,11.7,0.296,93.75,40250.0,2026-06-02,90.9375,stop,-3.63,-1462.0,0.75
2026-06-03,AKMGY,orta,12.4,0.693,294.5,13265.0,2026-06-03,285.665,stop,-3.63,-482.0,0.17
2026-06-03,BARMA,tepe,9.4,0.95,60.2,13265.0,2026-06-03,61.404,hedef,1.37,181.0,2.24
2026-06-03,BLCYT,orta,58.4,0.622,44.16,13265.0,2026-06-03,42.8352,stop,-3.63,-482.0,0.0
2026-06-03,KNFRT,orta,8.1,0.374,15.04,13265.0,2026-06-03,15.3408,hedef,1.37,181.0,3.13
2026-06-03,MEPET,orta,12.9,0.7,25.88,13265.0,2026-06-03,26.3976,hedef,1.37,181.0,2.4
2026-06-03,NUGYO,orta,8.7,0.634,11.29,13265.0,2026-06-03,10.9513,stop,-3.63,-482.0,1.24
2026-06-04,CUSAN,orta,29.0,0.468,28.78,15737.0,2026-06-04,27.9166,stop,-3.63,-572.0,1.32
2026-06-04,KNFRT,orta,9.4,0.486,16.69,15737.0,2026-06-04,17.0238,hedef,1.37,215.0,3.77
2026-06-04,LUKSK,orta,29.9,0.623,118.7,15737.0,2026-06-04,115.139,stop,-3.63,-572.0,0.08
2026-06-04,MAKIM,orta,20.2,0.566,19.59,15737.0,2026-06-04,19.0023,stop,-3.63,-572.0,0.77
2026-06-04,UFUK,orta,27.9,0.387,1387.0,15737.0,2026-06-04,1345.39,stop,-3.63,-572.0,0.0
2026-06-05,AVGYO,orta,83.5,0.49,14.0,19154.0,2026-06-05,13.58,stop,-3.63,-696.0,1.57
2026-06-05,BARMA,tepe,34.9,0.926,59.1,19154.0,2026-06-05,60.282,hedef,1.37,262.0,2.37
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,19154.0,2026-06-05,1626.9,hedef,1.37,262.0,2.63
2026-06-05,ULUFA,orta,8.6,0.381,4.0,19154.0,2026-06-05,4.08,hedef,1.37,262.0,2.75
2026-06-08,POLTK,dip,9.1,0.067,5270.0,38352.0,2026-06-08,5111.9,stop,-3.63,-1393.0,0.05
2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,38352.0,2026-06-08,7.8182,stop,-3.63,-1393.0,0.5
