hisse
AEFES
AGHOL
AGROT
AHGAZ
AKBNK
AKSA
AKSEN
ALARK
ALFAS
ALTNY
ANHYT
ANSGR
ARCLK
ARDYZ
ASELS
ASTOR
AVPGY
BERA
BIMAS
BRSAN
BRYAT
BSOKE
BTCIM
CANTE
CCOLA
CIMSA
CLEBI
CVKMD
CWENE
DOAS
DOHOL
ECILC
EFORC
ENJSA
ENKAI
EREGL
EUPWR
EUREN
FROTO
GARAN
GESAN
GOLTS
GRTHO
GSRAY
GUBRF
HALKB
HEKTS
IEYHO
ISCTR
ISMEN
KARSN
KCHOL
KONTR
KONYA
KOZAA
KOZAL
KRDMD
KTLEV
LMKDC
MAGEN
MAVI
MGROS
MIATK
MPARK
OBAMS
ODAS
OTKAR
OYAKC
PAHOL
PASEU
PETKM
PGSUS
PSGYO
RALYH
REEDR
RYGYO
SAHOL
SASA
SARKY
SELEC
SISE
SKBNK
SMRTG
SOKM
TABGD
TAVHL
TCELL
THYAO
TKFEN
TOASO
TSKB
TTKOM
TUPRS
TURSG
ULKER
VAKBN
VESTL
YKBNK
ZOREN
