tarih,kat,grup,pos52,acilis,acilis_ciro_TL,secili,hisse
2026-06-19,1576.1,DIP,0.11,6.79,251239668,True,BIGCH
2026-06-19,63.8,orta,0.29,1.84,40335745,False,FRIGO
2026-06-19,20.9,orta,0.32,28.82,9225800,False,YAYLA
2026-06-19,14.7,orta,0.35,9.5,1766582,False,DMSAS
2026-06-19,7.9,orta,0.61,66.1,16727993,False,KLYPV
2026-06-19,7.7,orta,0.78,1532.0,64291912,False,OZATD
2026-06-19,7.0,orta,0.24,13862.5,10064175,False,LYDYE
2026-06-19,5.7,tepe(eski),0.92,16.0,7791184,False,BRKO
2026-06-19,5.6,tepe(eski),1.12,16.34,5186250,False,BRMEN
2026-06-19,5.6,orta,0.75,4.98,9573736,False,INFO
2026-06-19,5.6,orta,0.28,4.24,2470143,False,SNICA
2026-06-19,5.4,orta,0.76,125.0,8033875,False,ISGSY
2026-06-19,5.1,orta,0.71,143.3,2423632,False,ATEKS
