hedef_%,hisse,giris_tarih,cikis_tarih,grup,kat,giris,kayitli_sebep,kayitli_cikis,kayitli_getiri_%,kayitli_tl_kar,beklenen_sebep,beklenen_cikis,beklenen_cikis_tarih,gun_kapanis_%,max_gordugu_%,ilk_bar_saat,1dk_gun_low,1dk_gun_high,flags,durum
3,VERUS,2026-05-22,2026-05-22,kirilim,10.4,573.0,hedef,590.19,2.37,265.0,hedef,590.19,2026-05-22,2.3,4.71,09:55,571.0,600.0,-,OK
3,GUNDG,2026-05-25,2026-05-25,tepe,19.7,1303.0,stop,1263.91,-3.63,-3330.0,stop,1263.91,2026-05-25,-18.1,0.0,09:55,1067.0,1303.0,-,OK
3,IDGYO,2026-06-01,2026-06-01,orta,8.5,4.23,hedef,4.3569,2.37,1045.0,hedef,4.3569,2026-06-01,5.2,3.07,09:55,4.2,4.45,-,OK
3,NUGYO,2026-06-01,2026-06-01,orta,8.1,10.41,stop,10.0977,-3.63,-1605.0,stop,10.0977,2026-06-01,-3.7,1.92,09:55,9.9,10.61,-,OK
3,DERHL,2026-06-02,2026-06-02,dip,8.1,15.42,hedef,15.8826,2.37,1039.0,hedef,15.8826,2026-06-02,-9.2,3.76,09:55,13.88,16.0,-,OK
3,PAMEL,2026-06-02,2026-06-02,orta,11.7,93.75,stop,90.9375,-3.63,-1594.0,stop,90.9375,2026-06-02,-2.1,0.75,09:55,89.5,94.45,-,OK
3,AKMGY,2026-06-03,2026-06-03,orta,12.4,294.5,stop,285.665,-3.63,-528.0,stop,285.665,2026-06-03,-7.6,0.17,09:55,272.25,295.0,-,OK
3,BARMA,2026-06-03,2026-06-08,tepe,9.4,60.2,acik_kaldi,61.65,1.78,258.0,acik_kaldi,61.65,2026-06-08,0.2,2.74,09:55,59.3,61.75,-,OK
3,BLCYT,2026-06-03,2026-06-03,orta,58.4,44.16,stop,42.8352,-3.63,-528.0,stop,42.8352,2026-06-03,-18.1,0.0,09:55,36.16,44.16,-,OK
3,KNFRT,2026-06-03,2026-06-03,orta,8.1,15.04,hedef,15.4912,2.37,344.0,hedef,15.4912,2026-06-03,7.0,3.12,09:55,15.04,16.09,-,OK
3,MEPET,2026-06-03,2026-06-03,orta,12.9,25.88,hedef,26.6564,2.37,344.0,hedef,26.6564,2026-06-03,2.6,3.94,09:55,25.6,27.3,-,OK
3,NUGYO,2026-06-03,2026-06-03,orta,8.7,11.29,stop,10.9513,-3.63,-528.0,stop,10.9513,2026-06-03,-3.3,1.24,09:55,10.61,11.43,-,OK
3,CUSAN,2026-06-04,2026-06-04,orta,29.0,28.78,stop,27.9166,-3.63,-522.0,stop,27.9166,2026-06-04,-4.1,1.32,09:55,26.78,29.68,-,OK
3,KNFRT,2026-06-04,2026-06-04,orta,9.4,16.69,hedef,17.1907,2.37,340.0,hedef,17.1907,2026-06-04,-2.5,3.77,09:55,15.78,17.54,-,OK
3,LUKSK,2026-06-04,2026-06-04,orta,29.9,118.7,stop,115.139,-3.63,-522.0,stop,115.139,2026-06-04,-7.4,0.08,09:55,109.3,118.8,-,OK
3,MAKIM,2026-06-04,2026-06-04,orta,20.2,19.59,stop,19.0023,-3.63,-522.0,stop,19.0023,2026-06-04,-7.6,0.77,09:55,17.76,19.74,-,OK
3,UFUK,2026-06-04,2026-06-04,orta,27.9,1387.0,stop,1345.39,-3.63,-522.0,stop,1345.39,2026-06-04,-3.4,0.0,10:00,1236.0,1387.0,-,OK
3,AVGYO,2026-06-05,2026-06-05,orta,83.5,14.0,stop,13.58,-3.63,-636.0,stop,13.58,2026-06-05,-4.9,1.57,09:55,13.01,14.22,-,OK
3,BARMA,2026-06-05,2026-06-05,tepe,34.9,59.1,hedef,60.873,2.37,414.0,hedef,60.873,2026-06-05,2.6,3.3,09:55,58.9,61.55,-,OK
3,CMBTN,2026-06-05,2026-06-08,dip,19.5,1595.0,acik_kaldi,1588.0,-1.07,-188.0,acik_kaldi,1588.0,2026-06-08,0.1,2.63,09:55,1589.0,1637.0,-,OK
3,ULUFA,2026-06-05,2026-06-05,orta,8.6,4.0,hedef,4.12,2.37,414.0,hedef,4.12,2026-06-05,-2.5,3.75,09:55,3.89,4.2,-,OK
3,POLTK,2026-06-08,2026-06-08,dip,9.1,5270.0,stop,5111.9,-3.63,-958.0,stop,5111.9,2026-06-08,-4.6,0.05,09:55,4980.0,5272.5,-,OK
3,SEKUR,2026-06-08,2026-06-08,kirilim,14.9,8.06,stop,7.8182,-3.63,-958.0,stop,7.8182,2026-06-08,9.3,0.5,09:55,7.81,8.81,stop_ama_gun_kapanis_+9.3%|tek_bar_wick,SUPHELI_WICK
5,PRZMA,2026-04-24,2026-04-24,tepe,9.0,25.84,stop,25.0648,-3.63,-3633.0,stop,25.0648,2026-04-24,0.0,0.0,09:55,25.02,25.84,tek_bar_wick,SUPHELI_WICK
5,EUKYO,2026-05-04,2026-05-04,orta,43.7,6.99,hedef,7.3395,4.37,2104.0,hedef,7.3395,2026-05-04,3.6,5.72,09:55,6.99,7.5,-,OK
5,KUVVA,2026-05-04,2026-05-04,orta,9.0,125.0,stop,121.25,-3.63,-1751.0,stop,121.25,2026-05-04,3.2,0.0,09:55,120.3,129.6,-,OK
5,MTRYO,2026-05-05,2026-05-05,orta,12.5,10.74,stop,10.4178,-3.63,-3514.0,stop,10.4178,2026-05-05,2.0,0.0,09:55,10.06,10.95,-,OK
5,IHYAY,2026-05-06,2026-05-18,dip,9.0,1.83,stop,1.7751,-3.63,-3386.0,stop,1.7751,2026-05-18,1.6,4.37,09:55,1.83,1.87,-,OK
5,EKSUN,2026-05-20,2026-05-20,kirilim,9.8,7.4,hedef,7.77,4.37,357.0,hedef,7.77,2026-05-20,4.5,5.81,09:55,7.3,7.9,-,OK
5,GUNDG,2026-05-20,2026-05-21,tepe,11.2,998.0,hedef,1047.9,4.37,357.0,hedef,1047.9,2026-05-21,0.0,9.92,09:55,998.0,998.0,-,OK
5,ICBCT,2026-05-20,2026-05-20,tepe,24.6,21.0,stop,20.37,-3.63,-297.0,stop,20.37,2026-05-20,-8.5,0.67,09:55,18.84,21.14,-,OK
5,ISSEN,2026-05-20,2026-05-20,tepe,34.3,11.1,stop,10.767,-3.63,-297.0,stop,10.767,2026-05-20,-10.0,3.06,09:55,9.53,11.44,-,OK
5,KFEIN,2026-05-20,2026-05-20,orta,86.6,10.6,hedef,11.13,4.37,357.0,hedef,11.13,2026-05-20,-9.0,5.19,09:55,9.55,11.15,-,OK
5,LKMNH,2026-05-20,2026-05-20,dip,17.0,15.2,hedef,15.96,4.37,357.0,hedef,15.96,2026-05-20,3.4,5.0,09:55,15.2,15.99,-,OK
5,PCILT,2026-05-20,2026-05-20,tepe,23.5,35.42,stop,34.3574,-3.63,-297.0,stop,34.3574,2026-05-20,-6.8,0.0,09:55,33.0,35.42,-,OK
5,SANFM,2026-05-20,2026-05-20,orta,17.3,8.35,stop,8.0995,-3.63,-297.0,stop,8.0995,2026-05-20,-2.4,2.87,09:55,8.01,8.59,-,OK
5,SMART,2026-05-20,2026-05-20,orta,8.8,36.76,stop,35.6572,-3.63,-297.0,stop,35.6572,2026-05-20,-2.1,2.18,09:55,35.52,40.1,-,OK
5,UFUK,2026-05-20,2026-05-20,orta,11.3,1446.0,stop,1402.62,-3.63,-297.0,stop,1402.62,2026-05-20,-5.7,0.0,09:55,1324.0,1446.0,-,OK
5,VBTYZ,2026-05-20,2026-05-20,tepe,9.6,27.78,stop,26.9466,-3.63,-297.0,stop,26.9466,2026-05-20,-8.9,1.3,09:55,25.12,29.1,-,OK
5,BAKAB,2026-05-21,2026-05-21,kirilim,9.4,52.2,stop,50.634,-3.63,-732.0,stop,50.634,2026-05-21,-13.1,0.0,09:55,45.36,52.2,-,OK
5,BIGTK,2026-05-21,2026-05-21,dip,56.0,211.5,hedef,222.075,4.37,880.0,hedef,222.075,2026-05-21,0.3,5.96,09:55,209.0,231.2,-,OK
5,GMTAS,2026-05-21,2026-05-21,tepe,18.4,48.42,stop,46.9674,-3.63,-732.0,stop,46.9674,2026-05-21,-7.3,0.0,09:55,44.88,48.42,-,OK
5,VERTU,2026-05-21,2026-05-21,orta,63.7,42.64,stop,41.3608,-3.63,-732.0,stop,41.3608,2026-05-21,-12.6,0.09,09:55,37.26,42.68,-,OK
5,ADGYO,2026-05-22,2026-05-22,orta,9.4,50.0,hedef,52.5,4.37,480.0,hedef,52.5,2026-05-22,15.2,6.7,09:55,50.0,58.5,-,OK
5,AGYO,2026-05-22,2026-05-22,orta,9.1,8.08,hedef,8.484,4.37,480.0,hedef,8.484,2026-05-22,8.9,6.44,09:55,8.08,9.05,-,OK
5,CEMZY,2026-05-22,2026-05-22,orta,9.7,12.0,hedef,12.6,4.37,480.0,hedef,12.6,2026-05-22,13.3,7.67,09:55,12.0,13.6,-,OK
5,INVES,2026-05-22,2026-05-25,orta,13.1,590.0,hedef,619.5,4.37,480.0,hedef,619.5,2026-05-25,3.4,5.93,09:55,589.0,612.0,-,OK
5,KOPOL,2026-05-22,2026-05-22,dip,44.1,5.03,hedef,5.2815,4.37,480.0,hedef,5.2815,2026-05-22,15.1,9.54,09:55,5.03,5.82,-,OK
5,LUKSK,2026-05-22,2026-05-22,orta,10.6,90.1,hedef,94.605,4.37,480.0,hedef,94.605,2026-05-22,8.8,8.6,09:55,90.1,98.75,-,OK
5,RYSAS,2026-05-22,2026-05-22,orta,10.2,19.06,hedef,20.013,4.37,480.0,hedef,20.013,2026-05-22,4.9,5.14,09:55,18.78,20.16,-,OK
5,VERUS,2026-05-22,2026-06-02,kirilim,10.4,573.0,hedef,601.65,4.37,480.0,hedef,601.65,2026-06-02,2.3,6.63,09:55,571.0,600.0,-,OK
5,GUNDG,2026-05-25,2026-05-25,tepe,19.7,1303.0,stop,1263.91,-3.63,-2498.0,stop,1263.91,2026-05-25,-18.1,0.0,09:55,1067.0,1303.0,-,OK
5,IDGYO,2026-06-01,2026-06-01,orta,8.5,4.23,hedef,4.4415,4.37,1697.0,hedef,4.4415,2026-06-01,5.2,5.2,09:55,4.2,4.45,-,OK
5,NUGYO,2026-06-01,2026-06-01,orta,8.1,10.41,stop,10.0977,-3.63,-1412.0,stop,10.0977,2026-06-01,-3.7,1.92,09:55,9.9,10.61,-,OK
5,DERHL,2026-06-02,2026-06-02,dip,8.1,15.42,stop,14.9574,-3.63,-1417.0,stop,14.9574,2026-06-02,-9.2,3.76,09:55,13.88,16.0,-,OK
5,PAMEL,2026-06-02,2026-06-02,orta,11.7,93.75,stop,90.9375,-3.63,-1417.0,stop,90.9375,2026-06-02,-2.1,0.75,09:55,89.5,94.45,-,OK
5,AKMGY,2026-06-03,2026-06-03,orta,12.4,294.5,stop,285.665,-3.63,-525.0,stop,285.665,2026-06-03,-7.6,0.17,09:55,272.25,295.0,-,OK
5,BARMA,2026-06-03,2026-06-08,tepe,9.4,60.2,acik_kaldi,61.65,1.78,256.0,acik_kaldi,61.65,2026-06-08,0.2,2.74,09:55,59.3,61.75,-,OK
5,BLCYT,2026-06-03,2026-06-03,orta,58.4,44.16,stop,42.8352,-3.63,-525.0,stop,42.8352,2026-06-03,-18.1,0.0,09:55,36.16,44.16,-,OK
5,KNFRT,2026-06-03,2026-06-03,orta,8.1,15.04,hedef,15.792,4.37,631.0,hedef,15.792,2026-06-03,7.0,6.52,09:55,15.04,16.09,-,OK
5,MEPET,2026-06-03,2026-06-03,orta,12.9,25.88,hedef,27.174,4.37,631.0,hedef,27.174,2026-06-03,2.6,5.49,09:55,25.6,27.3,-,OK
5,NUGYO,2026-06-03,2026-06-03,orta,8.7,11.29,stop,10.9513,-3.63,-525.0,stop,10.9513,2026-06-03,-3.3,1.24,09:55,10.61,11.43,-,OK
5,CUSAN,2026-06-04,2026-06-04,orta,29.0,28.78,stop,27.9166,-3.63,-522.0,stop,27.9166,2026-06-04,-4.1,1.32,09:55,26.78,29.68,-,OK
5,KNFRT,2026-06-04,2026-06-04,orta,9.4,16.69,stop,16.1893,-3.63,-522.0,stop,16.1893,2026-06-04,-2.5,4.25,09:55,15.78,17.54,-,OK
5,LUKSK,2026-06-04,2026-06-04,orta,29.9,118.7,stop,115.139,-3.63,-522.0,stop,115.139,2026-06-04,-7.4,0.08,09:55,109.3,118.8,-,OK
5,MAKIM,2026-06-04,2026-06-04,orta,20.2,19.59,stop,19.0023,-3.63,-522.0,stop,19.0023,2026-06-04,-7.6,0.77,09:55,17.76,19.74,-,OK
5,UFUK,2026-06-04,2026-06-04,orta,27.9,1387.0,stop,1345.39,-3.63,-522.0,stop,1345.39,2026-06-04,-3.4,0.0,10:00,1236.0,1387.0,-,OK
5,AVGYO,2026-06-05,2026-06-05,orta,83.5,14.0,stop,13.58,-3.63,-629.0,stop,13.58,2026-06-05,-4.9,1.57,09:55,13.01,14.22,-,OK
5,BARMA,2026-06-05,2026-06-08,tepe,34.9,59.1,acik_kaldi,61.65,3.68,638.0,acik_kaldi,61.65,2026-06-08,2.6,4.65,09:55,58.9,61.55,-,OK
5,CMBTN,2026-06-05,2026-06-08,dip,19.5,1595.0,acik_kaldi,1588.0,-1.07,-186.0,acik_kaldi,1588.0,2026-06-08,0.1,2.63,09:55,1589.0,1637.0,-,OK
5,ULUFA,2026-06-05,2026-06-08,orta,8.6,4.0,stop,3.88,-3.63,-629.0,hedef,4.2,2026-06-05,-2.5,5.0,09:55,3.89,4.2,-|kayit_uyumsuz,UYUMSUZ
5,POLTK,2026-06-08,2026-06-08,dip,9.1,5270.0,stop,5111.9,-3.63,-303.0,stop,5111.9,2026-06-08,-4.6,0.05,09:55,4980.0,5272.5,-,OK
5,SEKUR,2026-06-08,2026-06-08,kirilim,14.9,8.06,stop,7.8182,-3.63,-303.0,stop,7.8182,2026-06-08,9.3,0.5,09:55,7.81,8.81,stop_ama_gun_kapanis_+9.3%|tek_bar_wick,SUPHELI_WICK
