hedef_%,hisse,giris_tarih,cikis_tarih,grup,kat,giris,kayitli_sebep,kayitli_cikis,kayitli_getiri_%,kayitli_tl_kar,beklenen_sebep,beklenen_cikis,beklenen_cikis_tarih,gun_kapanis_%,max_gordugu_%,ilk_bar_saat,1dk_gun_low,1dk_gun_high,flags,durum
1,BAKAB,2026-05-21,2026-05-21,kirilim,9.4,52.2,stop,50.634,-3.63,-732.0,stop,50.634,2026-05-21,-13.1,0.0,09:55,45.36,52.2,-,OK
1,BIGTK,2026-05-21,2026-05-21,dip,56.0,211.5,hedef,213.615,0.37,74.0,hedef,213.615,2026-05-21,0.3,2.08,09:55,209.0,231.2,-,OK
1,GMTAS,2026-05-21,2026-05-21,tepe,18.4,48.42,stop,46.9674,-3.63,-732.0,stop,46.9674,2026-05-21,-7.3,0.0,09:55,44.88,48.42,-,OK
1,VERTU,2026-05-21,2026-05-21,orta,63.7,42.64,stop,41.3608,-3.63,-732.0,stop,41.3608,2026-05-21,-12.6,0.09,09:55,37.26,42.68,-,OK
1,ADGYO,2026-05-22,2026-05-22,orta,9.4,50.0,hedef,50.5,0.37,40.0,hedef,50.5,2026-05-22,15.2,6.7,09:55,50.0,58.5,-,OK
1,AGYO,2026-05-22,2026-05-22,orta,9.1,8.08,hedef,8.1608,0.37,40.0,hedef,8.1608,2026-05-22,8.9,3.96,09:55,8.08,9.05,-,OK
1,CEMZY,2026-05-22,2026-05-22,orta,9.7,12.0,hedef,12.12,0.37,40.0,hedef,12.12,2026-05-22,13.3,7.67,09:55,12.0,13.6,-,OK
1,INVES,2026-05-22,2026-05-22,orta,13.1,590.0,hedef,595.9,0.37,40.0,hedef,595.9,2026-05-22,3.4,1.19,09:55,589.0,612.0,-,OK
1,KOPOL,2026-05-22,2026-05-22,dip,44.1,5.03,hedef,5.0803,0.37,40.0,hedef,5.0803,2026-05-22,15.1,9.54,09:55,5.03,5.82,-,OK
1,LUKSK,2026-05-22,2026-05-22,orta,10.6,90.1,hedef,91.001,0.37,40.0,hedef,91.001,2026-05-22,8.8,8.6,09:55,90.1,98.75,-,OK
1,RYSAS,2026-05-22,2026-05-22,orta,10.2,19.06,hedef,19.2506,0.37,40.0,hedef,19.2506,2026-05-22,4.9,2.52,09:55,18.78,20.16,-,OK
1,VERUS,2026-05-22,2026-05-22,kirilim,10.4,573.0,hedef,578.73,0.37,40.0,hedef,578.73,2026-05-22,2.3,4.71,09:55,571.0,600.0,-,OK
1,GUNDG,2026-05-25,2026-05-25,tepe,19.7,1303.0,stop,1263.91,-3.63,-3159.0,stop,1263.91,2026-05-25,-18.1,0.0,09:55,1067.0,1303.0,-,OK
1,IDGYO,2026-06-01,2026-06-01,orta,8.5,4.23,hedef,4.2723,0.37,154.0,hedef,4.2723,2026-06-01,5.2,1.18,09:55,4.2,4.45,-,OK
1,NUGYO,2026-06-01,2026-06-01,orta,8.1,10.41,hedef,10.5141,0.37,154.0,hedef,10.5141,2026-06-01,-3.7,1.92,09:55,9.9,10.61,-,OK
1,DERHL,2026-06-02,2026-06-02,dip,8.1,15.42,hedef,15.5742,0.37,154.0,hedef,15.5742,2026-06-02,-9.2,2.66,09:55,13.88,16.0,-,OK
1,PAMEL,2026-06-02,2026-06-02,orta,11.7,93.75,stop,90.9375,-3.63,-1528.0,stop,90.9375,2026-06-02,-2.1,0.75,09:55,89.5,94.45,-,OK
1,AKMGY,2026-06-03,2026-06-03,orta,12.4,294.5,stop,285.665,-3.63,-501.0,stop,285.665,2026-06-03,-7.6,0.17,09:55,272.25,295.0,-,OK
1,BARMA,2026-06-03,2026-06-03,tepe,9.4,60.2,hedef,60.802,0.37,51.0,hedef,60.802,2026-06-03,0.2,1.25,09:55,59.3,61.75,-,OK
1,BLCYT,2026-06-03,2026-06-03,orta,58.4,44.16,stop,42.8352,-3.63,-501.0,stop,42.8352,2026-06-03,-18.1,0.0,09:55,36.16,44.16,-,OK
1,KNFRT,2026-06-03,2026-06-03,orta,8.1,15.04,hedef,15.1904,0.37,51.0,hedef,15.1904,2026-06-03,7.0,3.12,09:55,15.04,16.09,-,OK
1,MEPET,2026-06-03,2026-06-03,orta,12.9,25.88,hedef,26.1388,0.37,51.0,hedef,26.1388,2026-06-03,2.6,1.0,09:55,25.6,27.3,-,OK
1,NUGYO,2026-06-03,2026-06-03,orta,8.7,11.29,hedef,11.4029,0.37,51.0,hedef,11.4029,2026-06-03,-3.3,1.24,09:55,10.61,11.43,-,OK
1,CUSAN,2026-06-04,2026-06-04,orta,29.0,28.78,hedef,29.0678,0.37,60.0,hedef,29.0678,2026-06-04,-4.1,1.04,09:55,26.78,29.68,-,OK
1,KNFRT,2026-06-04,2026-06-04,orta,9.4,16.69,hedef,16.8569,0.37,60.0,hedef,16.8569,2026-06-04,-2.5,3.77,09:55,15.78,17.54,-,OK
1,LUKSK,2026-06-04,2026-06-04,orta,29.9,118.7,stop,115.139,-3.63,-595.0,stop,115.139,2026-06-04,-7.4,0.08,09:55,109.3,118.8,-,OK
1,MAKIM,2026-06-04,2026-06-04,orta,20.2,19.59,stop,19.0023,-3.63,-595.0,stop,19.0023,2026-06-04,-7.6,0.77,09:55,17.76,19.74,-,OK
