tarih,kat,grup,pos52,acilis,acilis_ciro_TL,secili,hisse
2026-06-22,26.7,tepe(eski),1.22,46.0,4135446,False,DGGYO
2026-06-22,19.0,orta,0.43,20.98,11763926,False,BOBET
2026-06-22,17.7,DIP,0.08,6.8,54750907,True,ENSRI
2026-06-22,13.1,orta,0.34,130.2,1205521,False,PSDTC
2026-06-22,9.8,DIP,0.13,6.65,11500430,True,BORLS
2026-06-22,8.0,orta,0.7,8.37,2944306,False,SEKUR
2026-06-22,7.4,orta,0.67,11.42,535929,False,MTRYO
2026-06-22,6.3,tepe(eski),1.05,56.35,3346795,False,BAKAB
2026-06-22,6.0,DIP,0.02,1.23,10965314,False,IHLAS
2026-06-22,5.9,tepe(eski),0.89,11.08,154989333,False,DMRGD
2026-06-22,5.4,tepe(eski),0.88,20.98,1292053,False,ISFIN
