grup,olay,gun,son_tl,getiri_%,win_%,hedef,stop,gun_sonu,ort_getiri_%,ort_max_%,ort_min_%
DIP+KIRILIM,45,13,97840.0,-2.16,48.9,18,16,11,-0.02,2.79,-3.49
ELENEN orta/tepe,183,18,98953.0,-1.05,49.2,75,71,37,-0.05,3.63,-3.52
