tarih,hisse,kat,baseline_tl,kum_ciro_tl,tetik_bar,tetik_saat,giris,mfe_gun_kalan_%,mae_gun_kalan_%,kapanis_gun_%,mfe_5g_%,mae_5g_%,mfe_t1,mae_t1,kapanis_t1,mfe_t2,mae_t2,kapanis_t2,mfe_t3,mae_t3,kapanis_t3,mfe_t5,mae_t5,kapanis_t5
2024-07-12,EGGUB,4.02,11225942.0,45074751.0,2,2024-07-12 11:00,41.86,2.15,-2.34,-0.14,50.86,-2.34,9.84,-1.34,9.84,20.76,12.28,13.57,24.82,10.46,24.82,50.86,37.48,41.78
2024-07-16,EGGUB,4.12,15146230.0,62450678.0,2,2024-07-16 11:00,45.98,0.0,-2.78,0.0,37.34,-2.78,9.94,2.22,3.39,13.64,0.57,13.64,24.95,16.25,24.95,34.41,20.16,22.88
2024-07-17,EGGUB,8.25,17627437.0,145418498.0,1,2024-07-17 10:00,50.55,0.0,-7.02,-5.95,24.93,-8.53,3.36,-8.53,3.36,13.65,5.74,13.65,24.93,13.85,17.41,19.29,7.42,10.09
2024-07-22,EGGUB,4.74,51768840.0,245616255.0,2,2024-07-22 11:00,60.9,1.72,-5.5,-2.55,10.02,-10.84,1.48,-9.28,-7.22,-0.99,-10.84,-8.62,0.49,-9.61,0.49,6.73,-3.12,1.23
2024-12-25,EGGUB,4.18,29818587.0,124606040.0,2,2024-12-25 11:00,58.55,0.0,-1.28,0.0,19.39,-1.28,9.99,2.65,9.99,19.39,8.03,8.03,16.99,7.6,13.41,10.93,5.12,6.4
2024-12-26,EGGUB,7.01,34402811.0,241045583.0,1,2024-12-26 10:00,62.75,2.63,-4.22,2.63,11.39,-4.22,11.39,0.8,0.8,9.16,0.4,5.82,6.45,1.43,1.51,9.16,-0.8,9.16
2025-05-08,EGGUB,4.12,66045091.0,271792033.0,3,2025-05-08 12:00,73.4,1.36,-4.63,-1.16,5.38,-4.63,0.95,-4.5,-1.23,5.38,-0.95,3.41,4.5,1.57,2.18,3.88,-0.2,0.48
2025-08-29,EGGUB,6.33,60083445.0,380246437.0,3,2025-08-29 12:00,113.3,0.35,-2.82,0.35,19.15,-2.82,10.33,-1.06,6.71,11.92,3.71,8.3,17.92,2.56,16.59,12.71,9.18,10.86
2025-09-01,EGGUB,4.94,87755005.0,433147415.0,3,2025-09-01 12:00,123.1,1.54,-6.34,-1.79,9.67,-6.34,3.01,-4.55,-0.32,8.53,-5.61,7.31,9.67,1.22,2.03,5.61,-1.79,-1.54
2026-03-09,EGGUB,5.82,68206351.0,396953381.0,1,2026-03-09 10:00,110.0,0.0,-7.0,-2.73,15.27,-7.0,2.45,-6.82,-1.45,0.82,-3.64,-1.91,4.55,-1.64,1.82,15.27,4.82,13.0
2025-01-10,EGPRO,4.34,22373984.0,97052107.0,2,2025-01-10 11:00,26.4338,1.18,-3.77,-3.77,1.18,-13.6,-3.65,-7.25,-6.58,-3.91,-8.68,-8.07,-7.39,-12.23,-11.25,-11.02,-13.6,-13.52
