tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-07-24,BORSK,elenen,orta,7.9,0.369,6.35,1dk,hedef,6.5405,10:01,2.97,3.78,-2.36,10:02,16:03,6.59,6.2
2026-07-17,BOSSA,elenen,orta,6.4,0.357,6.8,1dk,hedef,7.004,10:05,2.97,6.62,-1.62,10:12,10:01,7.25,6.69
2026-07-20,BOSSA,elenen,orta,10.6,0.468,7.08,1dk,gun_sonu,7.18,18:09,1.38,2.82,-2.54,17:35,10:21,7.28,6.9
2026-07-13,BRISA,elenen,orta,7.5,0.366,83.6,15dk,stop,81.092,10:15,-3.03,0.0,-3.47,10:00,18:00,83.6,80.7
2026-07-14,BRLSM,elenen,orta,9.0,0.505,19.29,1dk,stop,18.7113,12:52,-3.03,0.31,-8.92,10:03,17:48,19.35,17.57
2026-07-16,BULGS,elenen,orta,8.3,0.476,41.0,1dk,gun_sonu,41.12,18:08,0.26,2.24,-1.9,17:31,10:08,41.92,40.22
2026-07-24,BULGS,elenen,orta,15.2,0.47,40.8,1dk,stop,39.576,11:07,-3.03,0.98,-4.17,10:00,18:09,41.2,39.1
2026-07-02,BYDNR,elenen,orta,12.5,0.694,38.5,1dk,hedef,39.655,10:19,2.97,4.05,4.05,18:08,18:08,40.06,40.06
2026-07-03,BYDNR,elenen,orta,18.1,0.738,39.7,1dk,stop,38.509,10:15,-3.03,-0.2,-6.8,10:00,11:01,39.62,37.0
2026-07-23,CASA,dipkir,dip,9.4,0.124,77.0,1dk,stop,74.69,17:55,-3.03,-2.6,-5.84,13:55,18:09,75.0,72.5
2026-07-13,CATES,elenen,orta,27.3,0.725,46.0,15dk,stop,44.62,10:15,-3.03,0.0,-4.78,14:00,16:45,46.0,43.8
2026-07-13,CEMTS,dipkir,dip,5.9,0.034,9.58,1dk,stop,9.2926,17:12,-3.03,0.0,-3.55,10:00,17:59,9.58,9.24
2026-07-02,CEOEM,elenen,orta,21.5,0.385,28.56,15dk,gun_sonu,29.0,18:00,1.51,2.94,-2.24,12:45,17:00,29.4,27.92
2026-07-02,CMBTN,elenen,orta,19.2,0.271,1800.0,15dk,hedef,1854.0,10:00,2.97,3.72,-5.06,10:15,18:00,1867.0,1709.0
2026-07-06,CMBTN,elenen,orta,15.3,0.384,1931.0,1dk,stop,1873.07,16:39,-3.03,-3.94,-6.89,17:29,17:55,1855.0,1798.0
