giris_tarih,cikis_tarih,hisse,grup,kat,pos52,giris,cikis,poz_tl,sebep,getiri_%,tl_kar,max_gordugu_%,tutus_gun
2026-05-06,2026-05-06,IHYAY,dip,9.0,0.106,1.83,1.86,100000.0,gun_kapanis,1.61,1606.0,2.19,0
2026-05-12,2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,212.7,101606.0,gun_kapanis,-2.42,-2458.0,3.72,0
2026-05-14,2026-05-14,ALCAR,dip,32.9,0.183,771.5,777.0,99148.0,gun_kapanis,0.68,674.0,1.88,0
2026-05-18,2026-05-18,GSDHO,kirilim,8.1,0.996,6.0,5.36,49911.0,gun_kapanis,-10.7,-5340.0,5.17,0
2026-05-18,2026-05-18,ISSEN,kirilim,119.0,1.071,10.04,10.52,49911.0,gun_kapanis,4.75,2370.0,4.78,0
2026-05-20,2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,7.73,48426.0,gun_kapanis,4.43,2144.0,6.76,0
2026-05-20,2026-05-20,LKMNH,dip,17.0,0.169,15.2,15.72,48426.0,gun_kapanis,3.39,1641.0,5.2,0
2026-05-21,2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,45.36,50318.0,gun_kapanis,-13.14,-6610.0,0.0,0
2026-05-21,2026-05-21,BIGTK,dip,56.0,0.018,211.5,212.1,50318.0,gun_kapanis,0.25,126.0,9.31,0
2026-05-22,2026-05-22,ALVES,dip,8.0,0.106,2.6,2.69,31384.0,gun_kapanis,3.43,1076.0,6.15,0
2026-05-22,2026-05-22,KOPOL,dip,44.1,0.131,5.03,5.79,31384.0,gun_kapanis,15.08,4732.0,15.71,0
2026-05-22,2026-05-22,VERUS,kirilim,10.4,0.967,573.0,586.0,31384.0,gun_kapanis,2.24,702.0,4.71,0
2026-05-25,2026-05-25,DURDO,kirilim,23.5,0.907,5.0,5.21,100661.0,gun_kapanis,4.17,4195.0,5.4,0
2026-06-02,2026-06-02,DERHL,dip,8.1,0.047,15.42,14.0,104856.0,gun_kapanis,-9.24,-9691.0,3.76,0
2026-06-05,2026-06-05,CMBTN,dip,19.5,0.095,1595.0,1596.0,47583.0,gun_kapanis,0.03,14.0,2.63,0
2026-06-05,2026-06-05,EMKEL,dip,9.8,0.071,25.96,22.9,47583.0,gun_kapanis,-11.82,-5624.0,0.23,0
2026-06-08,2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,27.68,29852.0,gun_kapanis,6.43,1919.0,6.46,0
2026-06-08,2026-06-08,POLTK,dip,9.1,0.067,5270.0,5027.5,29852.0,gun_kapanis,-4.63,-1383.0,0.05,0
2026-06-08,2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,8.81,29852.0,gun_kapanis,9.27,2768.0,9.31,0
