giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,son_gun_limit,tutus_gun
2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-07,1.88,sure_doldu,2.7,2699.0,2.73,2026-05-07,1
2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,102699.0,2026-05-13,207.005,stop,-5.03,-5169.0,0.0,2026-05-13,1
2026-05-14,ALCAR,dip,32.9,0.183,771.5,97530.0,2026-05-15,765.5,sure_doldu,-0.81,-791.0,1.49,2026-05-15,1
2026-05-18,GSDHO,kirilim,8.1,0.996,6.0,48370.0,2026-05-18,6.3,hedef,4.97,2403.0,5.0,2026-05-20,0
2026-05-18,ISSEN,kirilim,119.0,1.071,10.04,48370.0,2026-05-20,10.542,hedef,4.97,2403.0,10.56,2026-05-20,2
2026-05-20,EKSUN,kirilim,9.8,0.903,7.4,25386.0,2026-05-20,7.77,hedef,4.97,1261.0,5.81,2026-05-21,0
2026-05-20,LKMNH,dip,17.0,0.169,15.2,25386.0,2026-05-20,15.96,hedef,4.97,1261.0,5.0,2026-05-21,0
2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,52033.0,2026-05-21,49.59,stop,-5.03,-2619.0,0.0,2026-05-22,0
2026-05-21,BIGTK,dip,56.0,0.018,211.5,52033.0,2026-05-21,222.075,hedef,4.97,2584.0,5.96,2026-05-22,0
2026-05-22,ALVES,dip,8.0,0.106,2.6,34677.0,2026-05-22,2.73,hedef,4.97,1722.0,5.0,2026-05-25,0
2026-05-22,KOPOL,dip,44.1,0.131,5.03,34677.0,2026-05-22,5.2815,hedef,4.97,1722.0,9.54,2026-05-25,0
2026-05-22,VERUS,kirilim,10.4,0.967,573.0,34677.0,2026-05-25,580.0,sure_doldu,1.19,412.0,4.54,2026-05-25,3
2026-05-25,DURDO,kirilim,23.5,0.907,5.0,72800.0,2026-05-25,5.25,hedef,4.97,3616.0,5.0,2026-05-26,0
2026-06-02,DERHL,dip,8.1,0.047,15.42,111505.0,2026-06-02,14.649,stop,-5.03,-5612.0,3.76,2026-06-03,0
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,52947.0,2026-06-08,1588.0,sure_doldu,-0.47,-250.0,0.56,2026-06-08,3
2026-06-05,EMKEL,dip,9.8,0.071,25.96,52947.0,2026-06-05,24.662,stop,-5.03,-2665.0,0.23,2026-06-08,0
2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,16761.0,2026-06-08,27.3,hedef,4.97,832.0,6.46,2026-06-08,0
2026-06-08,POLTK,dip,9.1,0.067,5270.0,16761.0,2026-06-08,5006.5,stop,-5.03,-844.0,0.05,2026-06-08,0
2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,16761.0,2026-06-08,8.463,hedef,4.97,832.0,5.58,2026-06-08,0
