tarih,giris,cikis,sonuc,getiri_brut,getiri_net,kat,acilis_ciro,hisse,hedef
2024-06-21,1.67069253,1.6873994553,hedef,0.010000000000000009,0.0030000000000000087,3.7596173105699178,1122877.7081791393,ISKPL,0.01
2024-07-08,1.76153733,1.7791527032999999,hedef,0.010000000000000009,0.0030000000000000087,6.324815332401936,393161.2109150913,ISKPL,0.01
2024-08-05,1.80412082,1.8221620282000002,hedef,0.010000000000000009,0.0030000000000000087,7.522247276107075,595221.2388300514,ISKPL,0.01
2024-09-02,2.1078831,2.128961931,hedef,0.010000000000000009,0.0030000000000000087,4.516875162887744,616021.9494432327,ISKPL,0.01
2024-09-16,2.21434184,2.1700550032,stop,-0.020000000000000018,-0.027000000000000017,3.8527482220630143,437200.5592910334,ISKPL,0.01
2024-09-19,2.14620825,2.103284085,stop,-0.020000000000000018,-0.027000000000000017,3.62212448185305,345699.40016129473,ISKPL,0.01
2024-10-28,2.57204322,2.5206023556,stop,-0.020000000000000018,-0.027000000000000017,6.72458530256703,525951.120245374,ISKPL,0.01
2024-11-11,2.42725933,2.3787141434,stop,-0.020000000000000018,-0.027000000000000017,3.072033589433361,362227.68028206174,ISKPL,0.01
2024-11-12,2.49681237,2.4468761225999995,stop,-0.02000000000000013,-0.027000000000000128,5.772373321295612,902779.8487388084,ISKPL,0.01
2024-12-27,2.73102161,2.70405206,kapanis,-0.009875260562291932,-0.01687526056229193,3.4167523711576604,287638.00025277794,ISKPL,0.01
2024-12-31,2.78070235,2.7250883029999997,stop,-0.020000000000000018,-0.027000000000000017,3.339169043064094,362619.5994786568,ISKPL,0.01
2025-01-30,2.8956778,2.924634578,hedef,0.010000000000000009,0.0030000000000000087,18.35782097649117,1325428.8018308964,ISKPL,0.01
2025-03-05,3.26189587,3.1966579526,stop,-0.020000000000000018,-0.027000000000000017,4.259987417427002,373773.0000000154,ISKPL,0.01
2025-03-14,3.52023575,3.449831035,stop,-0.020000000000000018,-0.027000000000000017,4.881971789903634,580176.3196038139,ISKPL,0.01
2025-03-20,3.13414538,3.1654868338,hedef,0.010000000000000009,0.0030000000000000087,6.302575518568323,956767.381144471,ISKPL,0.01
2025-03-26,3.19092338,3.1271049124,stop,-0.020000000000000018,-0.027000000000000017,3.9434801016089525,836814.6812074138,ISKPL,0.01
2025-04-17,3.32151277,3.2550825145999998,stop,-0.02000000000000013,-0.027000000000000128,3.658068583646426,624546.0007521255,ISKPL,0.01
2025-04-18,3.42087426,3.3524567748000003,stop,-0.020000000000000018,-0.027000000000000017,7.804495450911583,1858519.7005432956,ISKPL,0.01
2025-05-14,3.83819253,3.78141453,kapanis,-0.014792900448899582,-0.02179290044889958,5.658073270013693,687816.4800716669,ISKPL,0.01
2025-05-16,3.93187622,3.9711949822,hedef,0.010000000000000009,0.0030000000000000087,3.157886669834458,570703.0995645577,ISKPL,0.01
2025-06-05,4.11072691,4.09085461,kapanis,-0.0048342544846892155,-0.011834254484689215,7.1265443204985095,860314.7199162707,ISKPL,0.01
2025-06-13,4.2413163,4.156489974,stop,-0.020000000000000018,-0.027000000000000017,3.713028057508348,701154.9998347997,ISKPL,0.01
2025-06-19,3.63095284,3.5583337831999997,stop,-0.020000000000000018,-0.027000000000000017,6.703034937066265,1743664.5024086596,ISKPL,0.01
2025-07-07,4.18737721,4.1036296658,stop,-0.02000000000000013,-0.027000000000000128,10.324226742086793,1265314.0015108872,ISKPL,0.01
2025-07-28,4.78638506,4.690657358799999,stop,-0.02000000000000013,-0.027000000000000128,4.502226076900791,1312042.0991771452,ISKPL,0.01
2025-07-31,5.88220039,5.88220039,kapanis,0.0,-0.007,20.12987483602571,11509960.008609647,ISKPL,0.01
