hisse,grup,olay,hedef,stop,gun_sonu,compound_%,durum,ort_getiri_%,ort_max_%,ort_min_%,en_yuksek_max_%,en_derin_min_%,tarihler
KLRHO,DIP,3,2,1,0,2.82,KAR,0.97,5.63,-6.94,10.39,-9.85,"03-19, 04-20, 05-26"
SUNTK,DIP,3,2,1,0,2.82,KAR,0.97,5.38,-2.5,8.43,-6.87,"03-02, 05-26, 07-06"
YESIL,DIP,3,2,1,0,2.82,KAR,0.97,5.25,-3.12,9.27,-7.01,"03-19, 04-27, 05-26"
BIGCH,DIP,2,1,0,1,2.77,KAR,1.39,7.33,-0.39,13.4,-0.94,"05-26, 06-19"
INGRM,DIP,2,1,0,1,2.73,KAR,1.37,4.24,-0.36,7.12,-0.72,"03-02, 03-19"
TEKTU,DIP,2,1,0,1,2.7,KAR,1.36,3.6,-1.48,6.54,-1.61,"02-09, 03-19"
MARKA,DIP,5,3,2,0,2.66,KAR,0.57,6.24,-2.71,20.34,-6.86,"01-05, 02-11, 03-10, 03-16, 03-18"
IHLAS,DIP,7,3,2,2,2.6,KAR,0.4,3.14,-3.07,7.32,-8.22,"02-16, 03-19, 05-26, 06-09, 06-18, 06-22, 06-23"
EYGYO,DIP,2,1,0,1,2.51,KAR,1.26,2.93,-1.2,4.6,-1.26,"05-26, 07-09"
LINK,DIP,7,4,3,0,2.51,KAR,0.4,3.5,-5.97,7.95,-12.57,"01-20, 02-06, 03-11, 03-18, 03-19, 05-05, 05-26"
TSGYO,DIP,2,1,0,1,2.46,KAR,1.24,2.28,-0.46,3.79,-1.4,"04-02, 05-26"
GENTS,DIP,2,1,0,1,2.23,KAR,1.12,3.99,-1.45,7.84,-2.32,"04-15, 05-26"
EGEEN,DIP,3,1,0,2,2.15,KAR,0.73,2.05,-1.39,4.83,-1.45,"03-02, 03-19, 05-26"
KLYPV,DIP,1,0,0,1,1.95,KAR,1.95,1.98,-0.36,1.98,-0.36,03-19
DYOBY,DIP,4,2,0,2,1.93,KAR,0.51,2.4,-1.96,5.56,-2.55,"02-05, 02-11, 03-17, 03-19"
IHLGM,DIP,2,1,0,1,1.92,KAR,0.98,3.14,-3.64,5.8,-5.8,"05-26, 06-23"
TUCLK,DIP,2,1,0,1,1.79,KAR,0.91,2.79,-1.12,3.12,-1.34,"03-19, 05-26"
ISSEN,DIP,1,0,0,1,1.78,KAR,1.78,1.81,-0.7,1.81,-0.7,03-19
GOKNR,DIP,1,0,0,1,1.77,KAR,1.77,2.8,-1.0,2.8,-1.0,01-05
KFEIN,DIP,3,1,0,2,1.74,KAR,0.59,4.61,-1.17,11.34,-2.36,"03-02, 03-11, 03-19"
FORMT,DIP,5,1,0,4,1.71,KAR,0.35,2.45,-1.38,6.62,-2.69,"03-19, 05-15, 05-26, 06-29, 06-30"
SUWEN,DIP,4,1,0,3,1.62,KAR,0.42,1.9,-0.89,4.36,-2.17,"02-09, 03-19, 04-16, 05-26"
BIGTK,DIP,7,3,3,1,1.61,KAR,0.27,4.54,-2.63,9.31,-4.86,"03-19, 05-11, 05-12, 05-13, 05-21, 05-26, 07-01"
MARTI,DIP,2,1,0,1,1.53,KAR,0.79,5.2,-1.34,10.39,-1.37,"03-19, 04-02"
ALVES,DIP,2,1,0,1,1.39,KAR,0.72,3.45,-1.12,6.15,-1.87,"05-22, 05-26"
GENIL,DIP,2,1,0,1,1.38,KAR,0.72,1.9,-6.34,3.23,-8.93,"01-30, 02-02"
BJKAS,DIP,1,0,0,1,1.34,KAR,1.34,2.05,-0.68,2.05,-0.68,03-10
DNISI,DIP,4,1,0,3,1.06,KAR,0.28,2.2,-1.02,5.89,-1.65,"01-14, 03-02, 03-19, 05-26"
OSTIM,DIP,2,0,0,2,1.06,KAR,0.53,0.92,-0.55,1.12,-0.75,"03-19, 05-26"
MARMR,DIP,2,1,0,1,0.99,KAR,0.53,2.94,-1.92,5.51,-2.26,"03-19, 05-26"
MRSHL,DIP,1,0,0,1,0.9,KAR,0.9,0.93,-0.57,0.93,-0.57,03-19
NUHCM,DIP,1,0,0,1,0.82,KAR,0.82,0.85,-0.85,0.85,-0.85,05-26
TUREX,DIP,7,3,2,2,0.79,KAR,0.15,2.79,-3.06,7.61,-7.17,"01-26, 01-28, 03-02, 03-13, 03-19, 05-26, 06-04"
ANELE,DIP,1,0,0,1,0.61,KAR,0.61,1.15,-0.14,1.15,-0.14,03-19
OSMEN,DIP,2,0,0,2,0.6,KAR,0.3,0.74,-1.01,1.2,-1.61,"03-19, 05-26"
DAPGM,DIP,2,1,0,1,0.4,KAR,0.24,1.8,-5.32,3.38,-7.78,"05-21, 05-26"
AKENR,DIP,1,0,0,1,0.28,KAR,0.28,0.41,-0.72,0.41,-0.72,03-19
LRSHO,DIP,1,0,0,1,0.25,KAR,0.25,0.28,-1.13,0.28,-1.13,05-26
KRTEK,DIP,3,1,0,2,0.22,KAR,0.1,1.23,-1.43,3.14,-2.39,"03-02, 06-05, 07-02"
SNICA,DIP,2,0,0,2,0.2,KAR,0.1,0.9,-0.78,1.05,-0.79,"03-19, 04-08"
UNLU,DIP,1,0,0,1,0.12,KAR,0.12,1.37,-0.23,1.37,-0.23,05-26
TBORG,DIP,5,1,0,4,0.11,KAR,0.04,1.17,-1.44,3.77,-3.69,"03-12, 03-19, 05-11, 05-12, 05-26"
AFYON,DIP,1,0,0,1,0.05,KAR,0.05,0.95,-0.16,0.95,-0.16,05-26
FMIZP,DIP,1,0,0,1,0.05,KAR,0.05,1.23,-4.91,1.23,-4.91,03-02
SNGYO,DIP,1,0,0,1,-0.03,ZARAR,-0.03,0.84,-1.67,0.84,-1.67,05-26
USAK,DIP,2,0,0,2,-0.06,ZARAR,-0.03,0.93,-1.25,1.23,-1.89,"03-19, 05-26"
TMSN,DIP,1,0,0,1,-0.08,ZARAR,-0.08,0.66,-0.66,0.66,-0.66,05-26
TEZOL,DIP,3,0,0,3,-0.12,ZARAR,-0.04,1.16,-1.01,1.81,-1.56,"01-16, 01-19, 02-02"
DIRIT,DIP,2,1,1,0,-0.15,ZARAR,-0.03,10.02,-2.11,17.1,-4.57,"06-09, 06-10"
KZBGY,DIP,2,1,1,0,-0.15,ZARAR,-0.03,1.9,-3.58,3.81,-6.21,"05-26, 06-11"
SAMAT,DIP,2,1,1,0,-0.15,ZARAR,-0.03,2.85,-2.01,5.0,-3.83,"03-02, 04-22"
ZRGYO,DIP,2,1,1,0,-0.15,ZARAR,-0.03,3.78,-3.06,7.57,-6.18,"05-22, 05-26"
MNDTR,DIP,1,0,0,1,-0.21,ZARAR,-0.21,1.04,-0.69,1.04,-0.69,05-26
HTTBT,DIP,1,0,0,1,-0.25,ZARAR,-0.25,1.29,-0.97,1.29,-0.97,03-19
ETILR,DIP,1,0,0,1,-0.29,ZARAR,-0.29,-0.26,-1.29,-0.26,-1.29,03-19
BINBN,DIP,1,0,0,1,-0.34,ZARAR,-0.34,0.5,-0.75,0.5,-0.75,03-19
ONRYT,DIP,1,0,0,1,-0.37,ZARAR,-0.37,0.25,-1.02,0.25,-1.02,03-19
KUTPO,DIP,1,0,0,1,-0.38,ZARAR,-0.38,1.66,-2.91,1.66,-2.91,06-29
MNDRS,DIP,1,0,0,1,-0.38,ZARAR,-0.38,0.35,-0.7,0.35,-0.7,05-26
KLGYO,DIP,1,0,0,1,-0.45,ZARAR,-0.45,0.62,-0.82,0.62,-0.82,05-26
DENGE,DIP,1,0,0,1,-0.46,ZARAR,-0.46,0.43,-1.29,0.43,-1.29,05-26
SANFM,DIP,4,1,1,2,-0.55,ZARAR,-0.11,2.53,-2.11,6.42,-6.52,"01-27, 02-16, 03-02, 03-19"
PRKME,DIP,1,0,0,1,-0.6,ZARAR,-0.6,1.6,-0.57,1.6,-0.57,05-26
IMASM,DIP,1,0,0,1,-0.63,ZARAR,-0.63,0.3,-1.2,0.3,-1.2,05-26
YIGIT,DIP,1,0,0,1,-0.66,ZARAR,-0.66,-0.18,-1.42,-0.18,-1.42,03-19
MEDTR,DIP,1,0,0,1,-0.67,ZARAR,-0.67,-0.21,-1.34,-0.21,-1.34,03-19
BAYRK,DIP,1,0,0,1,-0.9,ZARAR,-0.9,0.22,-1.31,0.22,-1.31,03-19
ASUZU,DIP,1,0,0,1,-1.05,ZARAR,-1.05,1.11,-1.95,1.11,-1.95,07-09
BUCIM,DIP,2,0,0,2,-1.22,ZARAR,-0.61,0.82,-1.06,0.82,-2.13,"03-19, 05-26"
AYCES,DIP,1,0,0,1,-1.28,ZARAR,-1.28,2.1,-1.72,2.1,-1.72,05-26
TUKAS,DIP,2,0,0,2,-1.29,ZARAR,-0.64,0.42,-1.04,0.43,-1.23,"03-19, 05-26"
GLCVY,DIP,1,0,0,1,-1.3,ZARAR,-1.3,-0.08,-1.85,-0.08,-1.85,05-26
YKSLN,DIP,1,0,0,1,-1.3,ZARAR,-1.3,1.9,-2.22,1.9,-2.22,01-20
CONSE,DIP,1,0,0,1,-1.39,ZARAR,-1.39,0.68,-2.38,0.68,-2.38,05-26
MAKIM,DIP,1,0,0,1,-1.52,ZARAR,-1.52,0.19,-1.94,0.19,-1.94,03-19
RAYSG,DIP,5,1,2,2,-1.6,ZARAR,-0.29,1.88,-1.91,5.29,-5.0,"02-04, 02-26, 03-02, 03-19, 05-26"
KNFRT,DIP,2,0,0,2,-1.71,ZARAR,-0.86,0.0,-1.01,0.09,-1.19,"03-19, 04-02"
JANTS,DIP,6,2,2,2,-1.85,ZARAR,-0.28,2.65,-4.27,6.39,-8.33,"01-05, 03-19, 05-18, 05-26, 07-06, 07-09"
BMSCH,DIP,1,0,0,1,-1.9,ZARAR,-1.9,2.14,-2.0,2.14,-2.0,06-29
BOBET,DIP,2,0,0,2,-2.16,ZARAR,-1.08,0.22,-1.44,0.48,-2.4,"03-19, 05-26"
BALSU,DIP,3,0,0,3,-2.52,ZARAR,-0.84,0.55,-1.4,0.79,-2.3,"03-19, 05-12, 05-26"
ERCB,DIP,3,1,1,1,-2.59,ZARAR,-0.83,2.31,-2.8,5.01,-4.52,"03-19, 04-03, 07-03"
DGNMO,DIP,3,0,1,2,-2.62,ZARAR,-0.87,1.57,-1.81,2.26,-3.52,"01-19, 03-12, 03-19"
BIGEN,DIP,2,0,0,2,-2.67,ZARAR,-1.34,1.14,-1.54,2.18,-2.39,"01-29, 03-19"
ARENA,DIP,5,1,1,3,-2.77,ZARAR,-0.54,2.64,-1.89,6.3,-3.98,"01-02, 01-13, 02-09, 03-19, 04-15"
VESBE,DIP,6,2,2,2,-2.82,ZARAR,-0.44,2.14,-3.61,5.87,-13.39,"03-02, 03-19, 05-04, 05-26, 06-29, 06-30"
HATSN,DIP,2,0,1,1,-2.86,ZARAR,-1.42,1.28,-1.82,1.81,-3.42,"03-19, 03-27"
