hisse,grup,olay,hedef,stop,gun_sonu,compound_%,durum,ort_getiri_%,ort_max_%,ort_min_%,en_yuksek_max_%,en_derin_min_%,tarihler
BRLSM,KIRILIM,1,1,0,0,2.97,KAR,2.97,6.96,0.0,6.96,0.0,05-14
BYDNR,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.0,-5.06,5.0,-5.06,02-02
CGCAM,KIRILIM,1,1,0,0,2.97,KAR,2.97,6.16,-6.38,6.16,-6.38,06-03
DGGYO,KIRILIM,1,1,0,0,2.97,KAR,2.97,9.84,-3.88,9.84,-3.88,06-16
DMRGD,KIRILIM,1,1,0,0,2.97,KAR,2.97,6.12,-2.04,6.12,-2.04,03-18
DUNYH,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.76,-4.09,5.76,-4.09,05-18
ENSRI,KIRILIM,1,1,0,0,2.97,KAR,2.97,3.1,-3.4,3.1,-3.4,03-13
EUKYO,KIRILIM,1,1,0,0,2.97,KAR,2.97,8.27,0.0,8.27,0.0,06-16
FADE,KIRILIM,1,1,0,0,2.97,KAR,2.97,6.9,-10.8,6.9,-10.8,04-03
FONET,KIRILIM,1,1,0,0,2.97,KAR,2.97,6.5,-1.0,6.5,-1.0,05-11
FORTE,KIRILIM,1,1,0,0,2.97,KAR,2.97,9.94,-0.36,9.94,-0.36,03-19
FZLGY,KIRILIM,1,1,0,0,2.97,KAR,2.97,6.59,-0.18,6.59,-0.18,03-19
GSDHO,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.17,-10.67,5.17,-10.67,05-18
GUNDG,KIRILIM,1,1,0,0,2.97,KAR,2.97,7.73,0.0,7.73,0.0,05-22
GWIND,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.87,-0.27,5.87,-0.27,04-29
HATSN,KIRILIM,1,1,0,0,2.97,KAR,2.97,7.9,-1.39,7.9,-1.39,05-26
HLGYO,KIRILIM,1,1,0,0,2.97,KAR,2.97,4.2,-1.0,4.2,-1.0,02-16
HOROZ,KIRILIM,1,1,0,0,2.97,KAR,2.97,3.49,-2.74,3.49,-2.74,04-24
HURGZ,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.01,-1.89,5.01,-1.89,05-05
ICBCT,KIRILIM,1,1,0,0,2.97,KAR,2.97,3.2,-2.22,3.2,-2.22,05-22
ISDMR,KIRILIM,1,1,0,0,2.97,KAR,2.97,7.29,-0.44,7.29,-0.44,04-29
ISGSY,KIRILIM,1,1,0,0,2.97,KAR,2.97,516.77,485.89,516.77,485.89,03-19
ISSEN,KIRILIM,1,1,0,0,2.97,KAR,2.97,4.78,-0.7,4.78,-0.7,05-18
KAYSE,KIRILIM,1,1,0,0,2.97,KAR,2.97,7.37,-1.44,7.37,-1.44,02-17
KBORU,KIRILIM,1,1,0,0,2.97,KAR,2.97,15.48,-0.7,15.48,-0.7,02-18
KGYO,KIRILIM,1,1,0,0,2.97,KAR,2.97,7.56,-0.17,7.56,-0.17,05-05
KLGYO,KIRILIM,1,1,0,0,2.97,KAR,2.97,7.79,-0.39,7.79,-0.39,01-12
KORDS,KIRILIM,1,1,0,0,2.97,KAR,2.97,8.22,-1.1,8.22,-1.1,05-12
KRONT,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.33,-3.08,5.33,-3.08,06-30
KUYAS,KIRILIM,1,1,0,0,2.97,KAR,2.97,3.34,0.0,3.34,0.0,03-19
LIDER,KIRILIM,1,1,0,0,2.97,KAR,2.97,7.29,-0.89,7.29,-0.89,03-19
MERKO,KIRILIM,1,1,0,0,2.97,KAR,2.97,4.9,-3.27,4.9,-3.27,05-07
NIBAS,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.26,-4.21,5.26,-4.21,02-19
ODINE,KIRILIM,1,1,0,0,2.97,KAR,2.97,8.75,0.0,8.75,0.0,02-12
OZYSR,KIRILIM,1,1,0,0,2.97,KAR,2.97,6.06,-1.52,6.06,-1.52,07-06
PKART,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.4,-1.35,5.4,-1.35,04-22
SKYLP,KIRILIM,1,1,0,0,2.97,KAR,2.97,10.13,-3.96,10.13,-3.96,04-20
SONME,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.35,-4.32,5.35,-4.32,01-05
SURGY,KIRILIM,1,1,0,0,2.97,KAR,2.97,3.72,-2.93,3.72,-2.93,05-07
TARKM,KIRILIM,1,1,0,0,2.97,KAR,2.97,6.42,-2.84,6.42,-2.84,05-26
TMPOL,KIRILIM,1,1,0,0,2.97,KAR,2.97,9.58,-2.17,9.58,-2.17,04-13
TRCAS,KIRILIM,1,1,0,0,2.97,KAR,2.97,3.23,-1.12,3.23,-1.12,02-03
YGGYO,KIRILIM,1,1,0,0,2.97,KAR,2.97,4.38,-1.78,4.38,-1.78,03-12
YYLGD,KIRILIM,1,1,0,0,2.97,KAR,2.97,9.01,-1.89,9.01,-1.89,01-16
ZEDUR,KIRILIM,1,1,0,0,2.97,KAR,2.97,5.75,-3.01,5.75,-3.01,05-11
EBEBK,KIRILIM,2,1,0,1,2.77,KAR,1.39,4.32,-0.36,6.57,-0.72,"02-09, 02-20"
