grup,olay,gun,son_tl,getiri_%,win_%,hedef,stop,gun_sonu,ort_getiri_%,ort_max_%,ort_min_%
DIP+KIRILIM,545,111,234001.0,134.0,60.4,235,86,224,0.75,5.17,-0.45
ELENEN orta/tepe,2412,129,153444.0,53.44,53.9,1033,652,727,0.37,6.66,-0.03
