giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-01-02,ARENA,dip,5.1,0.097,28.82,33333.0,2026-01-05,27.9554,stop,-3.03,-1011.0,2.29
2026-01-02,BMSCH,kirilim,6.0,0.96,30.4,33333.0,2026-01-02,31.312,hedef,2.97,989.0,5.26
2026-01-02,PKENT,dip,7.1,0.079,190.0,33333.0,2026-01-02,195.7,hedef,2.97,989.0,9.95
2026-01-05,ACSEL,dip,7.1,0.141,99.5,11441.0,2026-01-05,102.485,hedef,2.97,339.0,3.12
2026-01-05,EDATA,kirilim,5.1,0.901,6.78,11441.0,2026-01-05,6.9834,hedef,2.97,339.0,7.67
2026-01-05,FENER,dip,7.0,0.186,3.71,11441.0,2026-01-05,3.5987,stop,-3.03,-347.0,0.0
2026-01-05,JANTS,dip,12.6,0.169,20.58,11441.0,2026-01-05,21.1974,hedef,2.97,339.0,3.89
2026-01-05,SDTTR,dip,6.6,0.168,186.1,11441.0,2026-01-05,191.683,hedef,2.97,339.0,3.33
2026-01-05,SEKUR,dip,6.0,0.175,3.7,11441.0,2026-01-05,3.811,hedef,2.97,339.0,5.41
2026-01-06,ESCAR,dip,5.5,0.102,24.58,51159.0,2026-01-06,25.3174,hedef,2.97,1518.0,3.42
2026-01-06,SARKY,kirilim,7.0,1.02,20.18,51159.0,2026-01-06,20.7854,hedef,2.97,1518.0,5.55
2026-01-07,CMBTN,dip,6.2,0.132,1934.0,26338.0,2026-01-07,1992.02,hedef,2.97,781.0,3.52
2026-01-07,FENER,dip,5.6,0.004,3.12,26338.0,2026-01-07,3.2136,hedef,2.97,781.0,3.53
2026-01-07,FORTE,kirilim,16.6,0.872,85.1,26338.0,2026-01-07,87.653,hedef,2.97,781.0,9.28
2026-01-07,TRILC,dip,8.5,0.048,2.5558,26338.0,2026-01-07,2.6325,hedef,2.97,781.0,3.48
2026-01-08,KLSYN,kirilim,10.8,1.073,8.23,36160.0,2026-01-08,7.9831,stop,-3.03,-1097.0,3.04
2026-01-08,KRDMA,dip,6.6,0.017,24.12,36160.0,2026-01-08,24.8436,hedef,2.97,1073.0,5.64
2026-01-08,TKNSA,dip,5.1,0.152,22.18,36160.0,2026-01-08,22.8454,hedef,2.97,1073.0,3.52
2026-01-12,ARENA,dip,5.5,0.103,29.0,36509.0,2026-01-12,29.87,hedef,2.97,1083.0,3.38
2026-01-12,KLGYO,kirilim,9.3,0.995,7.7,36509.0,2026-01-12,7.931,hedef,2.97,1083.0,6.62
2026-01-12,MEDTR,dip,5.0,0.118,29.0,36509.0,2026-01-13,29.87,hedef,2.97,1083.0,5.93
2026-01-13,ARENA,dip,7.5,0.156,30.5,25062.0,2026-01-13,31.415,hedef,2.97,744.0,4.33
2026-01-13,EBEBK,kirilim,5.1,0.851,58.05,25062.0,2026-01-13,59.7915,hedef,2.97,744.0,3.79
2026-01-13,ORGE,dip,9.1,0.081,68.5,25062.0,2026-01-16,70.555,hedef,2.97,744.0,3.36
2026-01-14,BORLS,dip,5.3,-0.001,2.96,17841.0,2026-01-14,2.8712,stop,-3.03,-541.0,2.36
2026-01-14,CLEBI,dip,15.9,0.097,1610.0,17841.0,2026-01-14,1658.3,hedef,2.97,529.0,6.02
2026-01-14,DCTTR,dip,9.0,0.154,9.2,17841.0,2026-01-14,9.476,hedef,2.97,529.0,3.59
2026-01-14,MEDTR,dip,11.4,0.195,30.84,17841.0,2026-01-14,29.9148,stop,-3.03,-541.0,0.19
2026-01-14,VANGD,kirilim,16.7,1.033,59.85,17841.0,2026-01-14,58.0545,stop,-3.03,-541.0,0.0
2026-01-15,ATAKP,kirilim,15.2,0.996,57.9,22160.0,2026-01-15,56.163,stop,-3.03,-672.0,0.78
2026-01-15,BESLR,dip,5.3,0.087,12.54,22160.0,2026-01-15,12.9162,hedef,2.97,657.0,4.07
2026-01-15,ESCAR,dip,5.3,0.161,28.12,22160.0,2026-01-15,28.9636,hedef,2.97,657.0,4.91
2026-01-15,ONCSM,kirilim,6.7,0.993,299.5,22160.0,2026-01-15,308.485,hedef,2.97,657.0,3.42
2026-01-16,ALFAS,dip,8.3,0.08,41.7,44969.0,2026-01-16,42.951,hedef,2.97,1334.0,3.98
2026-01-16,YYLGD,kirilim,11.6,0.947,11.65,44969.0,2026-01-16,11.9995,hedef,2.97,1334.0,3.35
