tarih,kat,en_yuksek_%,barem,stop,hisse
2025-08-11,12.255257929711584,9.88,+5%+,False,EKIZ
2026-04-10,13.26259946949602,4.23,+4%,False,EKIZ
2026-06-05,43.444558285174864,0.0,stop/<1%,True,EMKEL
2023-03-29,14.14047842401501,0.23,stop/<1%,False,EMNIS
2023-06-20,9.322904131568391,0.0,stop/<1%,False,EMNIS
2023-06-21,8.624080020459777,0.0,stop/<1%,True,EMNIS
2023-08-28,10.671179362834243,0.0,stop/<1%,False,EMNIS
2024-08-28,9.157094594594595,6.17,+5%+,False,EMNIS
2024-09-16,8.09476801579467,6.67,+5%+,False,EMNIS
2025-05-05,8.696556942867952,0.0,stop/<1%,True,EMNIS
2025-06-04,21.811023622047244,0.0,stop/<1%,False,EMNIS
2025-06-05,11.468962976607111,0.0,stop/<1%,False,EMNIS
2026-06-04,43.98577395609071,2.02,+2%,True,ENSRI
2026-06-02,20.917176209005003,0.0,stop/<1%,True,ERBOS
2026-06-01,13.93280632411067,2.75,+2%,False,ERSU
2026-05-26,15.09115149036946,3.2,+3%,False,ETILR
2026-05-13,11.838278712725126,2.5,+2%,False,ETYAT
2024-10-11,26.013918374635423,13.24,+5%+,False,EUHOL
2025-03-05,9.27871745154213,0.0,stop/<1%,False,EUHOL
2025-04-30,13.697893302647234,5.87,+5%+,False,EUHOL
2025-10-07,11.380621188314928,12.62,+5%+,False,EUHOL
2026-04-17,14.549245987038626,0.74,stop/<1%,False,EUHOL
2026-06-01,8.423522659952607,0.07,stop/<1%,True,FLAP
2023-04-14,20.528867342441604,2.67,+2%,False,GATEG
2023-04-27,24.06232725262576,0.0,stop/<1%,True,GATEG
2023-09-12,8.700554528650647,7.0,+5%+,False,GATEG
2024-02-22,9.181080804462413,0.0,stop/<1%,False,GATEG
2025-04-21,8.037904000357374,0.0,stop/<1%,False,GATEG
2025-08-12,8.779069767441861,0.0,stop/<1%,False,GATEG
2025-10-07,22.47049989272688,0.0,stop/<1%,False,GATEG
2025-11-25,8.9126559714795,14.9,+5%+,False,GATEG
2025-12-11,10.066549656281994,0.0,stop/<1%,False,GATEG
2026-01-21,13.776254698209152,0.0,stop/<1%,True,GATEG
2026-01-30,57.81893004115226,0.0,stop/<1%,True,GATEG
2026-05-05,15.597892486255347,0.0,stop/<1%,False,GATEG
2026-06-05,38.466089199539525,5.18,+5%+,True,GENKM
2026-05-08,8.80252748381794,3.08,+3%,False,GLBMD
2026-05-21,42.72444647732308,0.0,stop/<1%,True,GMTAS
2026-05-08,8.49899218946838,12.89,+5%+,False,GRNYO
2026-05-20,8.45059826610303,2.81,+2%,True,GRNYO
2026-06-05,10.198795180722891,5.22,+5%+,False,GSDHO
2026-05-26,12.058823529411766,2.79,+2%,True,GZNMI
2026-05-26,12.181680449466574,0.0,stop/<1%,False,HRKET
2026-06-01,12.57202988435897,5.2,+5%+,False,IDGYO
2026-06-01,8.077706141839158,7.13,+5%+,False,IHAAS
2026-06-03,22.638321110937746,0.26,stop/<1%,True,IHAAS
2023-09-12,15.611545988258316,0.0,stop/<1%,True,INTEK
