evren,min_kat,slippage,komisyon,hedef_%,stop_%,n,win_%,EV_%,PF
evren.csv,8.0,0.006,0.0005,3,2,7439,30.2,-1.303,0.27
evren.csv,8.0,0.006,0.0005,3,3,7439,34.7,-1.346,0.29
evren.csv,8.0,0.006,0.0005,3,4,7439,37.8,-1.347,0.31
evren.csv,8.0,0.006,0.0005,3,5,7439,40.6,-1.218,0.35
evren.csv,8.0,0.006,0.0005,5,2,7439,24.8,-1.185,0.38
evren.csv,8.0,0.006,0.0005,5,3,7439,28.1,-1.259,0.39
evren.csv,8.0,0.006,0.0005,5,4,7439,30.3,-1.291,0.41
evren.csv,8.0,0.006,0.0005,5,5,7439,32.1,-1.208,0.44
evren.csv,8.0,0.006,0.0005,7,2,7439,22.2,-1.206,0.38
evren.csv,8.0,0.006,0.0005,7,3,7439,25.0,-1.3,0.4
evren.csv,8.0,0.006,0.0005,7,4,7439,26.9,-1.354,0.4
evren.csv,8.0,0.006,0.0005,7,5,7439,28.4,-1.288,0.43
