grup,olay,gun,son_tl,getiri_%,win_%,hedef,stop,gun_sonu,ort_getiri_%,ort_max_%,ort_min_%
DIP+KIRILIM,671,119,423749.0,323.75,65.6,336,96,239,1.03,6.04,-0.07
ELENEN orta/tepe,2286,129,128090.0,28.09,52.0,932,642,712,0.26,6.49,-0.11
