ilk_bar_tepe,ilk_bar_dip,ilk_bar_kapanis,ilk_saat_hareket,gun_sonu,sinyal,hisse
0.0,0.0,0.0,-0.001036269505704679,-0.010362695057046567,False,ISKPL
0.0,0.0,0.0,0.00208986431267566,0.024033439595769535,False,ISKPL
0.0,0.0,0.0,0.0,-0.001000000070449869,False,ISKPL
0.0,0.0,0.0,0.0,0.015075377951816682,False,ISKPL
0.0,0.0,0.0,-0.009708738528134808,0.01650485549782932,False,ISKPL
0.0,0.0,0.0,0.0009560230089404875,0.022944545479404388,False,ISKPL
0.0,0.0,0.0,0.0037209305007934734,0.00930232625198335,False,ISKPL
0.0,0.0,0.0,-0.005424955172157131,0.012658228735033417,False,ISKPL
0.0,0.0,0.0,0.0,-0.0026785716139067217,False,ISKPL
0.0,0.0,0.0,0.0,-0.019801981579253503,False,ISKPL
0.0,0.0,0.0,0.005555555954191327,0.06666666492716478,False,ISKPL
0.0,0.0,0.0,0.0,0.03809524088360483,False,ISKPL
0.0,0.0,0.0,0.0016638936278414729,0.004159734069603349,False,ISKPL
0.0,0.0,0.0,0.0008264463387335219,0.009917356064802485,False,ISKPL
0.0,0.0,0.0,0.003410059921812092,0.08695652200025883,True,ISKPL
0.0,0.0,0.0,0.0007843137818284163,-0.00392156890914197,False,ISKPL
0.0,0.0,0.0,0.0,0.013385827736958955,False,ISKPL
0.0,0.0,0.0,-0.004669261033177552,-0.03657587261074757,False,ISKPL
0.0,0.0,0.0,0.0,0.03778134738669192,False,ISKPL
0.0,0.0,0.0,0.0,-0.02711076877066887,False,ISKPL
0.0,0.0,0.0,0.001592356804009265,0.013535032834078642,False,ISKPL
0.0,0.0,0.0,0.0,0.01886792588680386,False,ISKPL
0.0,0.0,0.0,0.0,-0.0153846164684589,False,ISKPL
0.0,0.0,0.0,-0.0015625001117978154,0.04218750301854124,False,ISKPL
0.0,0.0,0.0,0.0,-0.0661654127930541,False,ISKPL
0.0,0.0,0.0,0.0,0.007252210772053402,True,ISKPL
0.0,0.0,0.0,0.0,0.024800001817041784,False,ISKPL
0.0,0.0,0.0,-0.004683841084284546,0.008587041987855093,False,ISKPL
0.0,0.0,0.0,0.0,0.03173374837951082,False,ISKPL
0.0,0.0,0.0,0.0,0.009745128105326462,False,ISKPL
0.0,0.0,0.0,0.0,0.04282494130513159,False,ISKPL
0.0,0.0,0.0,-0.0014409222925920728,-0.009365994901848418,False,ISKPL
0.0,0.0,0.0,0.00726216464507301,-0.021060272354529563,False,ISKPL
0.0,0.0,0.0,-0.0022255194390384814,0.0007418398130127901,False,ISKPL
0.0,0.0,0.0,0.0,0.016308372460056564,False,ISKPL
0.0,0.0,0.0,0.0,-0.024799413129815928,False,ISKPL
0.0,0.0,0.0,0.0,0.0074794320755438015,False,ISKPL
0.0,0.0,0.0,-0.000738007433792931,0.002214022301378904,False,ISKPL
0.0,0.0,0.0,0.0,-0.02426470246194068,False,ISKPL
0.0,0.0,0.0,0.0053231942870901605,0.05171102486004564,False,ISKPL
0.0,0.0,0.0,0.0007230658505537058,-0.005784526804429757,False,ISKPL
0.0,0.0,0.0,0.0,0.007299270598485563,False,ISKPL
0.0,0.0,0.0,0.0,0.028985509317995373,False,ISKPL
0.0,0.0,0.0,0.0,0.007857143410677114,False,ISKPL
0.0,0.0,0.0,-0.0668135092105856,-0.051395005891405554,True,ISKPL
0.0,0.0,0.0,0.0,-0.016781084314944072,False,ISKPL
0.0,0.0,0.0,0.0,-0.0038610041340610968,False,ISKPL
