mfe,mae,sinyal,kat_gerceklesen,hisse
0.0321243546768446,-0.018652843802183794,False,,ISKPL
0.029258100377458574,-0.013584110670863181,False,,ISKPL
0.0,-0.03900000274754323,False,,ISKPL
0.03718593228114786,-0.013065327558241302,False,,ISKPL
0.019417477056269616,-0.026213594025964015,False,,ISKPL
0.03632886760456988,-0.011472276107284629,False,,ISKPL
0.03255814188194117,-0.00651162837638819,False,,ISKPL
0.018987343102550014,-0.03526220861902163,False,,ISKPL
0.022321430115888274,-0.018750001297346164,False,,ISKPL
0.0054005404307053695,-0.03510351279958579,False,,ISKPL
0.09722222267521752,-0.016666667862574203,False,0.05919663863851458,ISKPL
0.07359307897969103,0.0,False,0.4027378590623505,ISKPL
0.023294510789777956,-0.013311149022730118,False,0.27151141256538436,ISKPL
0.024793390162006546,-0.0016528926774670438,False,0.5220043483189019,ISKPL
0.09548167180478928,0.0,True,3.7596173105699178,ISKPL
0.014117648072911049,-0.022745094147546663,False,0.6606992062151679,ISKPL
0.03070866363184721,-0.015748032631716424,False,0.24418345967518243,ISKPL
0.0,-0.04513618450490642,False,0.1460223886721893,ISKPL
0.061093246077031926,-0.01768488866163731,False,0.08189361500523186,ISKPL
0.01084430750826737,-0.03408210385470134,False,0.3196168792202533,ISKPL
0.015127389638087907,-0.03821655768715948,False,0.12031522246643654,ISKPL
0.023584907358504825,-0.014937107993719834,False,0.040767454457317054,ISKPL
0.024615386349534196,-0.027692309643226,False,0.0648526105188712,ISKPL
0.06015624880032333,-0.022656251621068324,False,0.1500257989510288,ISKPL
0.0,-0.08421052681760866,False,0.40019685320176046,ISKPL
0.03384367108473363,-0.006446414621255836,True,6.324815332401936,ISKPL
0.032000002344570344,-0.006399994832927969,False,0.5804439729308265,ISKPL
0.01249024289142553,-0.005464481264998544,False,0.29127043853054924,ISKPL
0.03869969314574484,-0.006965944766234133,False,1.7220349863584656,ISKPL
0.027736128557139805,-0.023988007643880205,False,1.325698909591548,ISKPL
0.04507888586292785,-0.007513148525988056,False,1.5156406462509258,ISKPL
0.01512968407221682,-0.01512968407221682,False,0.9770874200996368,ISKPL
0.015250545754653233,-0.02759622053509525,False,0.08302266261162264,ISKPL
0.009643912342917726,-0.00890207775615337,False,0.03769679946784881,ISKPL
0.051148997508885685,-0.010378058525183254,False,0.975209325233915,ISKPL
0.0036469732747630434,-0.03938730622886788,False,0.6562599945875223,ISKPL
0.011219142844069108,-0.030665671509729542,False,0.46534905729064,ISKPL
0.01107011150689452,-0.01623615834419634,False,0.13174008238383464,ISKPL
0.011029412564579566,-0.030882350000688508,False,1.4149070906032613,ISKPL
0.06539923874113462,-0.008365019593998824,False,2.1811981312464064,ISKPL
0.011569053608859736,-0.02675343137650188,False,0.5485746436608183,ISKPL
0.010948905897728345,-0.03649634785010469,False,0.5752212389380218,ISKPL
0.032608697982744905,-0.010869565994248265,False,2.231983395279252,ISKPL
0.007857143410677114,-0.020000001408996493,False,1.679432056794256,ISKPL
0.0,-0.06754772365435602,True,7.522247276107075,ISKPL
0.00610221247816134,-0.02212052023333544,False,0.5982333620332613,ISKPL
0.013899614882620037,-0.019305020670305595,False,0.14623291300204233,ISKPL
0.02941176679076607,-0.012383901806638398,False,0.6027276726792374,ISKPL
0.003790750831823342,-0.029567856488222355,False,0.43455657492360683,ISKPL
0.007763975707346216,-0.048136643915839494,False,0.12942937245723204,ISKPL
0.015459724415754161,-0.048006512659447,False,0.34159993414944434,ISKPL
0.040131037139792936,-0.014742015762724603,False,0.12690982227921804,ISKPL
0.03426295070754137,-0.02948206825109667,False,0.2218147828587424,ISKPL
0.0,-0.049382714103180736,False,2.0532274394813217,ISKPL
0.04309657138626455,-0.005586586964616114,False,2.3959984627947595,ISKPL
0.010744436672315283,-0.02302379286924683,False,0.6094057160138081,ISKPL
0.01461538564503595,-0.03307692540718654,False,0.03668544405028674,ISKPL
0.0810810813751428,-0.02007722149711788,False,0.7164534047953888,ISKPL
0.013571429527533319,-0.012857143762926349,False,2.02366388518647,ISKPL
0.05894886276216571,-0.02201704699682938,False,1.6269667299917223,ISKPL
0.030428766221437975,-0.033886585990474116,False,2.7094729962063138,ISKPL
0.014925374180587037,-0.012082445765237093,False,0.5864136903042743,ISKPL
0.06761565809532621,-0.0071174382220576815,False,0.37552877765386533,ISKPL
0.041188389164464656,0.0,True,4.516875162887744,ISKPL
0.004016064541095377,-0.022757699066207393,False,0.24435071314831727,ISKPL
0.039590446541781565,-0.003412969529463794,False,0.015544246648513562,ISKPL
0.022267208065507083,-0.0013495277615458434,False,1.3734979288848237,ISKPL
0.02356902524622928,-0.006734007213208271,False,0.0018967276930955904,ISKPL
0.023936171894580083,-0.008643617628598443,False,0.05145218882674875,ISKPL
0.010471204912658072,-0.01963350921123419,False,0.4442272297150495,ISKPL
0.0,-0.02317880956914864,False,0.11468828454190393,ISKPL
0.015364062540810464,0.0,False,1.1474436017517289,ISKPL
0.03689064351345639,-0.0039525694451163496,False,0.04469835224426288,ISKPL
0.0,-0.04092071455728197,True,3.8527482220630143,ISKPL
0.04033831959515877,0.0,False,0.4402953407451099,ISKPL
0.044275773526736506,-0.046805817982894404,False,0.8083719978166287,ISKPL
0.05761589340633244,-0.02516556467507569,True,3.62212448185305,ISKPL
0.009463723070503693,-0.015772871784172637,False,0.22832306338018854,ISKPL
0.02379461658241855,-0.015654353014749045,False,0.7610669464509028,ISKPL
0.0012515645438522238,-0.03003754464383057,False,0.11151387000964325,ISKPL
0.03535353786934392,-0.008838384467336091,False,0.6581126916098207,ISKPL
0.01651375829751922,-0.007339450047278873,False,2.9848191416255947,ISKPL
0.035033802645370704,0.0,False,1.0546131481520562,ISKPL
0.02141982580749957,-0.00856793204759776,False,0.3309479518620956,ISKPL
0.030303028103494833,-0.05151515503440829,False,1.8893160438581753,ISKPL
0.0006246096629642928,-0.04434728167010038,False,0.37718913951717764,ISKPL
0.01923077062031231,-0.019230766104297525,False,2.274351035960968,ISKPL
0.021532617116624797,-0.031032296676991256,False,0.2769244369792389,ISKPL
0.019096118493003855,-0.011457671095802202,False,0.07970221151736034,ISKPL
0.01823899500370718,-0.006289308621967971,False,0.43143154727468763,ISKPL
0.0,-0.019692309058283786,False,0.6293416394030015,ISKPL
0.003095975448283328,-0.020433437958669476,False,0.2236738145843801,ISKPL
0.025316457502318812,-0.018987338667889486,False,0.9743469051540793,ISKPL
0.0006176652684515282,-0.024088945469610157,False,0.8697538900253626,ISKPL
0.0,-0.04101926512038401,False,0.667826974148167,ISKPL
0.008191556977536152,-0.04977945719353749,False,0.07560556112954792,ISKPL
0.03525641280390568,-0.0019230770620310977,False,0.9759429308643343,ISKPL
0.008674102216692736,-0.005576208567874108,False,0.4519298626566459,ISKPL
0.027143735974492378,-0.0024676127564149386,False,0.17888391989100327,ISKPL
0.017964073144588033,-0.008982036572294017,False,2.79895314196648,ISKPL
0.021201414922956907,-0.020612486730652746,False,1.8824866246864256,ISKPL
0.021412034444111105,-0.019675927289630524,False,1.3832245328308703,ISKPL
0.025142854837853834,-0.011428572210708365,False,0.21648574887644312,ISKPL
0.0,-0.03421633404745039,True,6.72458530256703,ISKPL
0.006810443168915992,-0.02099886243920357,False,0.9078073838205729,ISKPL
0.0,-0.025842694512428044,False,0.33269278725560125,ISKPL
0.0005685048732757547,-0.10062535455958177,False,0.4910236085521743,ISKPL
0.004353234136004636,-0.030472638952031672,False,1.5016615186426405,ISKPL
0.01210191169689434,-0.025477704348316643,False,0.25941433475508474,ISKPL
0.027848103252550827,-0.0354430360443968,False,1.1456136988052235,ISKPL
0.04347825953781026,-0.010559006950439875,False,0.291575414361067,ISKPL
0.03367408540767691,-0.010823808930443657,False,0.46092492828661813,ISKPL
0.01337987295080656,-0.025596278688499452,True,3.072033589433361,ISKPL
0.0,-0.04702549513785037,True,5.772373321295612,ISKPL
0.010582011327073149,-0.021164022654146297,False,1.0628267995989562,ISKPL
0.04040403909328294,-0.01366607346209936,False,0.04774253378897897,ISKPL
0.00992990723671272,-0.009345795046317829,False,0.1254074216094116,ISKPL
0.03456356010223316,-0.004100761857719015,False,1.3736063930747173,ISKPL
0.012571425406074699,-0.011428572210708365,False,0.6290262426256031,ISKPL
0.019406394098697932,-0.06621004241216322,False,0.06888056919664405,ISKPL
