tarih,kat,aralik_pos,sonuc,getiri_net,gun,hisse
2025-06-05,24.62398320650748,0.234,hedef,0.043000000000000003,1,ADGYO
2025-10-16,10.465294902372964,0.607,hedef,0.043000000000000003,0,ADGYO
2025-10-28,9.52354955580922,0.661,stop,-0.037,1,ADGYO
2025-11-26,8.78304641869044,0.711,stop,-0.037,1,ADGYO
2026-01-07,8.93661343120722,0.705,stop,-0.037,0,ADGYO
2026-01-12,11.076646649959809,0.875,stop,-0.037,0,ADGYO
2026-02-11,77.57528780179715,0.837,stop,-0.037,0,ADGYO
2026-02-17,8.232058079948914,0.835,stop,-0.037,0,ADGYO
2026-02-25,73.9226220619648,0.631,stop,-0.037,0,ADGYO
2026-03-19,21.39474693251534,0.673,hedef,0.043000000000000003,1,ADGYO
2026-05-22,9.449939414433455,0.524,hedef,0.043000000000000003,0,ADGYO
2026-05-26,12.383247240252405,0.689,stop,-0.037,0,ADGYO
2024-08-13,8.625625404420472,0.894,stop,-0.037,0,AFYON
2024-12-09,10.878522875890367,0.619,hedef,0.043000000000000003,1,AFYON
2025-02-21,10.57515377156688,0.435,hedef,0.043000000000000003,8,AFYON
2025-04-24,9.301853116080903,0.415,stop,-0.037,0,AFYON
2025-06-05,9.561533984349738,0.214,stop,-0.04737267080745355,4,AFYON
2025-08-04,37.77967147339875,0.597,stop,-0.037,1,AFYON
2025-10-17,9.917910017858171,0.234,stop,-0.037,0,AFYON
2025-10-22,10.368138981724023,0.166,hedef,0.043000000000000003,6,AFYON
2026-01-28,12.146075818296868,0.488,hedef,0.043000000000000003,13,AFYON
2026-02-16,10.36342455114441,0.585,stop,-0.037,3,AFYON
2026-02-25,8.52223226343633,0.57,stop,-0.037,2,AFYON
2026-03-19,26.985419667117043,0.803,hedef,0.043000000000000003,1,AFYON
2026-05-26,19.77213736647699,0.164,acik,,6,AFYON
2024-07-09,11.43505835553721,0.307,stop,-0.037,1,AGESA
2024-11-04,14.534171187697593,0.256,stop,-0.037,0,AGESA
2025-01-06,9.898948114880037,0.652,stop,-0.037,2,AGESA
2025-04-30,17.44094941813573,0.683,stop,-0.037,0,AGESA
2025-06-05,28.837335749886723,0.604,hedef,0.043000000000000003,1,AGESA
2025-08-07,57.98406000937647,0.97,stop,-0.037,5,AGESA
2025-10-28,19.26163218149354,0.978,hedef,0.043000000000000003,5,AGESA
2025-12-24,8.139764527155336,0.982,stop,-0.037,4,AGESA
2026-03-19,84.70682237246466,0.786,stop,-0.037,3,AGESA
2026-05-04,8.135802469135802,0.907,stop,-0.037,10,AGESA
2026-05-22,12.37556687755445,0.784,hedef,0.043000000000000003,0,AGESA
2024-09-09,59.58557092487117,0.036,hedef,0.043000000000000003,0,AGYO
2024-11-08,40.9542232563173,0.618,hedef,0.043000000000000003,0,AGYO
2024-12-06,10.945248922620065,1.007,hedef,0.043000000000000003,0,AGYO
2025-05-12,13.886079241684246,0.155,hedef,0.043000000000000003,9,AGYO
2025-05-27,13.534313597237121,0.276,stop,-0.037,0,AGYO
2025-06-24,8.63866915131246,0.249,stop,-0.037,0,AGYO
2025-08-11,27.082062883184157,0.56,stop,-0.037,1,AGYO
2025-10-28,49.839660892001476,0.454,stop,-0.037,16,AGYO
2026-01-15,14.766026250713335,0.389,hedef,0.043000000000000003,2,AGYO
2026-03-19,43.271031594975256,0.733,stop,-0.037,0,AGYO
2026-05-22,24.85264006949184,0.544,hedef,0.043000000000000003,0,AGYO
2024-10-11,27.826853817185714,-0.109,hedef,0.043000000000000003,0,AHSGY
2025-01-14,8.981734635266887,0.474,stop,-0.037,0,AHSGY
2025-03-28,10.484489517641148,0.355,stop,-0.037,0,AHSGY
2025-06-05,24.711934156378575,0.345,hedef,0.043000000000000003,1,AHSGY
2025-08-11,8.395266700878402,0.977,stop,-0.037,0,AHSGY
2025-09-10,11.239440843731929,1.006,stop,-0.037,0,AHSGY
2025-10-28,104.13467268240782,0.916,stop,-0.037,0,AHSGY
2025-12-18,10.874829158552958,1.052,stop,-0.037,0,AHSGY
2026-01-08,8.52815297539856,1.06,hedef,0.043000000000000003,0,AHSGY
2026-01-09,10.250900209247817,1.093,stop,-0.037,0,AHSGY
2026-03-02,10.682657609849288,0.544,hedef,0.043000000000000003,0,AHSGY
2026-03-19,11.145147529328119,0.728,stop,-0.037,1,AHSGY
2026-04-30,31.796503164815753,0.7,stop,-0.037,0,AHSGY
2026-05-05,17.11990841887888,0.756,stop,-0.037,0,AHSGY
2024-06-25,13.511123144262443,1.042,stop,-0.037,0,AKCNS
2024-10-07,14.43422153184371,0.836,stop,-0.037,2,AKCNS
2024-11-22,8.312540505508748,0.743,hedef,0.043000000000000003,1,AKCNS
2024-12-09,12.122132856717307,1.104,stop,-0.037,2,AKCNS
2024-12-10,8.454499985289358,1.0,stop,-0.037,0,AKCNS
2025-04-24,10.36644360235427,0.512,stop,-0.037,0,AKCNS
2025-06-05,19.56083167501544,0.254,stop,-0.037,3,AKCNS
2025-07-18,12.302505738332059,0.172,hedef,0.043000000000000003,11,AKCNS
2025-08-04,9.001391198126973,0.216,stop,-0.037,3,AKCNS
2025-10-28,31.181372825046452,0.104,stop,-0.037,9,AKCNS
2025-10-31,123.79410178535949,0.142,stop,-0.037,6,AKCNS
2025-12-15,39.355574875027166,0.367,stop,-0.037,0,AKCNS
2026-01-28,75.96598051539912,0.841,stop,-0.037,1,AKCNS
2026-01-29,13.906205502732993,0.804,stop,-0.037,0,AKCNS
2026-03-19,8.740242261103633,0.798,stop,-0.037,1,AKCNS
2026-04-20,36.52882230780088,1.02,stop,-0.037,0,AKCNS
2026-05-26,28.93260140286673,0.925,hedef,0.043000000000000003,0,AKCNS
2024-08-13,40.61868077250781,0.297,stop,-0.037,0,AKENR
2024-09-13,67.2870764384296,0.327,stop,-0.037,0,AKENR
2024-11-11,9.7602234007711,0.144,stop,-0.037,0,AKENR
2024-12-30,78.77273114223786,0.229,hedef,0.07075211701308703,1,AKENR
2025-01-20,8.505328105470092,0.418,stop,-0.037,0,AKENR
2025-03-07,10.105464380930941,0.081,stop,-0.037,3,AKENR
2025-05-05,22.94671896592638,0.155,hedef,0.0562672332389046,1,AKENR
2025-05-06,21.259547215710683,0.214,hedef,0.08092184724689166,1,AKENR
2025-06-05,508.426489940228,0.208,hedef,0.043000000000000003,0,AKENR
2025-07-04,10.331041547438923,0.329,stop,-0.037,0,AKENR
2025-09-15,27.344040822301693,0.207,stop,-0.037,7,AKENR
2025-10-28,31.437723844904678,0.116,hedef,0.043000000000000003,3,AKENR
2025-11-05,113.10179472083537,0.282,stop,-0.037,0,AKENR
2025-11-25,14.691589023611998,0.441,stop,-0.037,0,AKENR
2025-12-12,13.061947692582343,0.208,hedef,0.043000000000000003,0,AKENR
2025-12-15,14.479175916881271,0.343,stop,-0.037,0,AKENR
2026-03-19,13.313907371595267,0.073,stop,-0.037,5,AKENR
2026-05-11,18.520431215668754,0.317,stop,-0.037,0,AKENR
2026-05-26,8.487428117038105,0.301,hedef,0.043000000000000003,1,AKENR
2025-02-13,9.44017698283518,0.148,stop,-0.037,6,AKFGY
2025-06-05,9.260781622480676,0.319,hedef,0.043000000000000003,1,AKFGY
2025-06-25,11.204576279043781,0.766,hedef,0.043000000000000003,0,AKFGY
2026-03-19,13.182831979374843,0.795,stop,-0.037,1,AKFGY
2026-05-26,15.6602311756457,0.735,acik,,6,AKFGY
2025-05-27,16.497318905210673,0.34,stop,-0.037,0,AKFIS
2025-06-05,8.763218377479125,0.278,hedef,0.043000000000000003,3,AKFIS
2025-10-23,8.205981294591696,0.417,stop,-0.037,0,AKFIS
2025-10-28,16.407474987184404,0.383,hedef,0.043000000000000003,2,AKFIS
2026-02-16,10.788662823017424,0.462,hedef,0.043000000000000003,0,AKFIS
2026-02-17,8.45510919385279,0.631,hedef,0.043000000000000003,0,AKFIS
2026-03-19,94.83604063568124,0.97,hedef,0.043000000000000003,1,AKFIS
2026-05-26,40.00837267552716,0.954,stop,-0.037,1,AKFIS
2024-06-14,8.723979609204793,1.105,stop,-0.037,4,AKFYE
2024-07-18,16.128861019873263,0.253,stop,-0.037,3,AKFYE
2024-08-26,8.6186361658482,0.032,hedef,0.043000000000000003,5,AKFYE
2025-04-25,13.877219365479771,0.278,stop,-0.037,3,AKFYE
2025-06-05,15.408398799322391,0.119,stop,-0.037,4,AKFYE
2025-08-19,9.91644080935463,0.299,stop,-0.037,0,AKFYE
2025-10-28,14.842042670197916,0.187,hedef,0.043000000000000003,5,AKFYE
2025-12-29,9.853494164184205,0.183,stop,-0.037,0,AKFYE
2026-02-02,9.54854803823062,0.309,hedef,0.043000000000000003,0,AKFYE
2026-02-03,10.57222145376582,0.407,hedef,0.043000000000000003,0,AKFYE
2026-03-02,12.953173403983746,0.178,hedef,0.043000000000000003,0,AKFYE
2026-03-19,11.939747278799343,0.521,stop,-0.0709269406392693,4,AKFYE
2026-05-26,13.143381348056634,0.504,hedef,0.043000000000000003,4,AKFYE
2026-03-19,24.346080528175563,0.355,stop,-0.037,1,AKHAN
2026-05-26,25.285771220653466,0.727,hedef,0.043000000000000003,1,AKHAN
2024-08-05,9.332930004999225,0.329,hedef,0.043000000000000003,0,AKSGY
2024-09-19,8.455525036976931,0.386,hedef,0.043000000000000003,0,AKSGY
2024-10-15,27.975622681504554,0.185,stop,-0.037,4,AKSGY
2024-10-31,20.209760186453497,0.414,stop,-0.037,1,AKSGY
2024-12-04,8.412057828360505,1.03,stop,-0.037,0,AKSGY
2025-03-07,12.736680898459253,0.696,hedef,0.043000000000000003,5,AKSGY
2025-04-22,8.325126884326945,0.344,stop,-0.037,4,AKSGY
2025-05-05,8.009403280542985,0.282,hedef,0.043000000000000003,6,AKSGY
2025-06-05,24.546206004264803,0.339,hedef,0.043000000000000003,2,AKSGY
2025-08-19,15.86479227506235,0.819,hedef,0.043000000000000003,1,AKSGY
2025-10-28,12.41349656800663,0.853,hedef,0.043000000000000003,5,AKSGY
2025-12-04,15.061054118037962,0.778,stop,-0.037,0,AKSGY
2026-03-04,12.689616592078018,0.827,stop,-0.037,0,AKSGY
2026-03-19,11.19691070239254,0.912,hedef,0.058517241379310365,12,AKSGY
2026-04-20,72.38200600363601,0.834,stop,-0.037,3,AKSGY
2026-05-26,12.263609091588465,0.881,stop,-0.037,1,AKSGY
2024-07-11,13.599118639399574,0.541,hedef,0.043000000000000003,1,AKSUE
2024-07-16,11.912570429376336,0.872,stop,-0.037,0,AKSUE
2024-08-27,24.96648890170078,-0.076,hedef,0.043000000000000003,6,AKSUE
2024-11-25,18.27839974947154,0.552,stop,-0.037,0,AKSUE
2024-12-09,32.03090639521577,0.665,stop,-0.037,0,AKSUE
2025-01-17,11.29340134935001,0.455,stop,-0.037,0,AKSUE
2025-02-26,12.123504515613025,0.424,stop,-0.037,0,AKSUE
2025-03-12,8.792440771545486,0.958,hedef,0.043000000000000003,1,AKSUE
2025-06-05,11.384683635557035,0.36,hedef,0.043000000000000003,0,AKSUE
2025-11-07,19.059803979106754,0.477,stop,-0.037,2,AKSUE
2025-12-12,20.57805999562076,0.519,stop,-0.037,0,AKSUE
2026-05-26,16.434146668754053,0.914,stop,-0.037,1,AKSUE
2024-07-26,27.86187327854216,1.164,stop,-0.037,0,AKYHO
2024-08-05,48.02888277804203,1.166,stop,-0.037,0,AKYHO
2025-01-13,10.12692708658618,0.104,stop,-0.037,0,AKYHO
2025-02-17,12.095555562484993,0.142,hedef,0.043000000000000003,0,AKYHO
2025-03-06,11.323573916727716,0.246,hedef,0.043000000000000003,0,AKYHO
2025-03-07,8.01347067240618,0.18,hedef,0.043000000000000003,0,AKYHO
2025-04-10,8.493635964637281,0.313,hedef,0.06558064516129025,1,AKYHO
2025-07-17,13.595455824844446,0.178,stop,-0.037,1,AKYHO
2025-09-05,10.883511474637464,0.284,stop,-0.037,0,AKYHO
2025-09-17,8.460297536341812,0.261,hedef,0.043000000000000003,0,AKYHO
2025-10-28,17.836351875808536,0.18,stop,-0.037,8,AKYHO
2025-12-24,9.013996216006747,0.083,stop,-0.037,2,AKYHO
2026-05-26,17.267840724237924,0.087,stop,-0.037,4,AKYHO
