giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-08,1.8849,hedef,2.97,2967.0,3.28
2026-05-12,ERBOS,kirilim,17.0,0.911,217.9,102967.0,2026-05-12,224.437,hedef,2.97,3055.0,3.72
2026-05-14,ALCAR,dip,32.9,0.183,771.5,106022.0,2026-05-20,732.925,stop,-5.03,-5336.0,1.88
2026-05-21,BAKAB,kirilim,9.4,1.008,52.2,50343.0,2026-05-21,49.59,stop,-5.03,-2534.0,0.0
2026-05-21,BIGTK,dip,56.0,0.018,211.5,50343.0,2026-05-21,217.845,hedef,2.97,1494.0,3.03
2026-05-22,ALVES,dip,8.0,0.106,2.6,33215.0,2026-05-22,2.678,hedef,2.97,985.0,4.62
2026-05-22,KOPOL,dip,44.1,0.131,5.03,33215.0,2026-05-22,5.1809,hedef,2.97,985.0,9.54
2026-05-22,VERUS,kirilim,10.4,0.967,573.0,33215.0,2026-05-22,590.19,hedef,2.97,985.0,4.71
2026-05-25,DURDO,kirilim,23.5,0.907,5.0,102602.0,2026-05-25,5.15,hedef,2.97,3044.0,3.6
2026-06-02,DERHL,dip,8.1,0.047,15.42,105647.0,2026-06-02,15.8826,hedef,2.97,3135.0,3.76
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,54391.0,2026-06-08,1588.0,acik_kaldi,-0.47,-257.0,2.63
2026-06-05,EMKEL,dip,9.8,0.071,25.96,54391.0,2026-06-05,24.662,stop,-5.03,-2737.0,0.23
2026-06-08,AKFYE,kirilim,20.5,1.057,26.0,17218.0,2026-06-08,26.78,hedef,2.97,511.0,6.46
2026-06-08,POLTK,dip,9.1,0.067,5270.0,17218.0,2026-06-08,5006.5,stop,-5.03,-867.0,0.05
2026-06-08,SEKUR,kirilim,14.9,0.863,8.06,17218.0,2026-06-08,8.3018,hedef,2.97,511.0,3.35
