giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-06,1.8666,hedef,1.97,1967.0,2.19
2026-05-14,ALCAR,dip,32.9,0.183,771.5,101967.0,2026-05-18,748.355,stop,-3.03,-3093.0,1.88
2026-05-20,LKMNH,dip,17.0,0.169,15.2,98874.0,2026-05-20,15.504,hedef,1.97,1945.0,3.09
2026-05-21,BIGTK,dip,56.0,0.018,211.5,100819.0,2026-05-21,215.73,hedef,1.97,1983.0,2.08
2026-05-22,KOPOL,dip,44.1,0.131,5.03,102802.0,2026-05-22,5.1306,hedef,1.97,2022.0,9.54
2026-06-02,DERHL,dip,8.1,0.047,15.42,104824.0,2026-06-02,15.7284,hedef,1.97,2062.0,2.66
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,53443.0,2026-06-05,1626.9,hedef,1.97,1051.0,2.63
2026-06-05,EMKEL,dip,9.8,0.071,25.96,53443.0,2026-06-05,25.1812,stop,-3.03,-1621.0,0.15
2026-06-08,POLTK,dip,9.1,0.067,5270.0,106317.0,2026-06-08,5111.9,stop,-3.03,-3225.0,0.05
