tarih,hisse,kat,kat_kova,acilis,gun_yuksek,gun_dusuk,gun_yuksek_%,gun_dusuk_%,en_yuksek_%,barem,stop,bar_sayisi
2026-06-03,BYDNR,3.78,3-5x,42.52,44.66,41.7,5.03,-1.93,5.03,+5%+,False,434
2026-05-18,CEMAS,4.61,3-5x,5.13,5.16,4.91,0.58,-4.29,0.0,stop/<1%,True,470
2026-05-25,CEMTS,6.92,5-8x,10.35,10.76,10.2,3.96,-1.45,3.96,+3%,False,363
2026-05-22,CEMZY,9.73,8x+,12.0,13.6,12.0,13.33,0.0,13.33,+5%+,False,459
2026-05-15,CEOEM,113.47,8x+,28.42,28.8,26.5,1.34,-6.76,1.06,+1%,True,327
2026-06-03,CGCAM,6.59,5-8x,46.42,49.28,43.46,6.16,-6.38,6.16,+5%+,True,474
2026-06-04,CGCAM,5.9,5-8x,46.0,47.8,44.14,3.91,-4.04,2.09,+2%,True,483
2026-06-05,CMBTN,19.47,8x+,1595.0,1637.0,1589.0,2.63,-0.38,2.63,+2%,False,300
2026-05-12,COSMO,4.47,3-5x,202.9,223.1,202.9,9.96,0.0,9.96,+5%+,False,384
2026-05-13,COSMO,4.52,3-5x,219.9,221.5,202.8,0.73,-7.78,0.0,stop/<1%,True,322
2026-05-15,CRDFA,40.93,8x+,36.2,38.06,36.0,5.14,-0.55,5.14,+5%+,False,458
2026-05-12,CUSAN,4.91,3-5x,27.24,27.78,26.5,1.98,-2.72,1.98,+1%,False,362
2026-06-04,CUSAN,28.97,8x+,28.78,29.68,26.78,3.13,-6.95,1.32,+1%,True,469
2026-05-21,DAGI,4.46,3-5x,7.02,7.12,6.32,1.42,-9.97,1.42,+1%,True,398
2026-05-18,DAPGM,5.62,5-8x,10.8,10.94,10.14,1.3,-6.11,1.3,+1%,True,474
2026-05-21,DAPGM,6.23,5-8x,9.77,10.1,9.01,3.38,-7.78,3.38,+3%,True,457
2026-05-22,DAPGM,3.06,3-5x,8.7,9.53,8.7,9.54,0.0,9.54,+5%+,False,484
2026-06-02,DERHL,8.09,8x+,15.42,16.0,13.88,3.76,-9.99,3.76,+3%,True,474
2026-05-25,DGATE,3.13,3-5x,105.2,109.0,102.7,3.61,-2.38,3.61,+3%,False,400
2026-06-05,DITAS,6.04,5-8x,43.6,43.84,39.64,0.55,-9.08,0.55,stop/<1%,True,461
2026-05-21,DMRGD,3.73,3-5x,9.3,9.82,8.84,5.59,-4.95,5.59,+5%+,True,459
2026-05-12,DMSAS,10.68,8x+,9.08,9.32,9.08,2.64,0.0,2.64,+2%,False,363
2026-05-13,DNISI,4.0,3-5x,22.12,22.46,21.02,1.54,-4.97,1.54,+1%,True,425
2026-05-22,DOFER,3.39,3-5x,32.86,34.0,32.86,3.47,0.0,3.47,+3%,False,417
2026-05-18,DUNYH,5.72,5-8x,144.2,152.5,138.3,5.76,-4.09,0.0,stop/<1%,True,458
2026-05-21,DUNYH,33.64,8x+,179.0,179.0,147.6,0.0,-17.54,0.0,stop/<1%,True,354
2026-05-25,DUNYH,4.16,3-5x,125.1,128.0,119.7,2.32,-4.32,2.32,+2%,True,484
2026-05-25,DURDO,23.52,8x+,5.0,5.27,5.0,5.4,0.0,5.4,+5%+,False,351
2026-05-12,EDIP,3.21,3-5x,39.26,39.32,38.72,0.15,-1.38,0.15,stop/<1%,False,233
2026-05-22,EGEEN,4.37,3-5x,5390.0,5675.0,5350.0,5.29,-0.74,5.29,+5%+,False,437
2026-05-18,EGEPO,13.04,8x+,19.1,19.3,18.64,1.05,-2.41,1.05,+1%,False,329
2026-06-01,EGEPO,3.02,3-5x,19.5,19.98,19.5,2.46,0.0,2.46,+2%,False,330
2026-05-12,EGSER,4.61,3-5x,3.68,3.75,3.61,1.9,-1.9,1.9,+1%,False,314
2026-05-25,EKOS,3.98,3-5x,7.97,8.44,7.94,5.9,-0.38,5.9,+5%+,False,484
2026-05-15,EKSUN,3.02,3-5x,6.98,7.18,6.76,2.87,-3.15,2.87,+2%,True,244
2026-05-18,EKSUN,3.58,3-5x,7.14,7.67,6.79,7.42,-4.9,0.7,stop/<1%,True,484
2026-05-20,EKSUN,9.8,8x+,7.4,7.9,7.3,6.76,-1.35,6.76,+5%+,False,483
2026-05-22,EKSUN,3.49,3-5x,6.72,7.68,6.72,14.29,0.0,14.29,+5%+,False,476
2026-05-22,ELITE,12.96,8x+,35.3,39.14,35.3,10.88,0.0,10.88,+5%+,False,481
2026-06-05,EMKEL,9.76,8x+,25.96,26.02,22.7,0.23,-12.56,0.0,stop/<1%,True,464
2026-05-07,ERBOS,12.61,8x+,213.4,213.4,208.3,0.0,-2.39,0.0,stop/<1%,False,250
2026-05-12,ERBOS,16.96,8x+,217.9,226.0,212.7,3.72,-2.39,3.72,+3%,False,344
2026-06-02,ERBOS,7.91,5-8x,202.5,202.5,193.7,0.0,-4.35,0.0,stop/<1%,True,295
2026-05-15,ESCAR,4.84,3-5x,52.45,53.4,50.7,1.81,-3.34,0.0,stop/<1%,True,470
2026-05-13,ETYAT,10.08,8x+,8.0,8.2,7.92,2.5,-1.0,2.5,+2%,False,264
2026-05-21,ETYAT,7.44,5-8x,8.5,8.67,8.18,2.0,-3.76,0.0,stop/<1%,True,343
2026-05-25,ETYAT,4.25,3-5x,9.13,9.78,9.05,7.12,-0.88,7.12,+5%+,False,385
2026-05-04,EUKYO,43.68,8x+,6.99,7.5,6.99,7.3,0.0,7.3,+5%+,False,265
2026-05-14,EUYO,7.26,5-8x,6.0,6.3,5.7,5.0,-5.0,5.0,+5%+,True,219
2026-06-01,FLAP,3.0,3-5x,14.59,15.65,13.91,7.27,-4.66,0.07,stop/<1%,True,410
2026-05-15,FORMT,5.11,5-8x,2.54,2.63,2.53,3.54,-0.39,3.54,+3%,False,389
2026-05-20,FRMPL,3.3,3-5x,36.66,40.04,36.66,9.22,0.0,9.22,+5%+,False,480
2026-05-21,FRMPL,13.77,8x+,40.46,43.44,36.04,7.37,-10.92,7.37,+5%+,True,456
2026-05-22,FRMPL,4.17,3-5x,35.12,39.64,35.12,12.87,0.0,12.87,+5%+,False,481
2026-05-15,GARFA,5.29,5-8x,33.5,35.9,31.84,7.16,-4.96,0.0,stop/<1%,True,449
2026-05-18,GARFA,6.81,5-8x,35.66,37.5,33.52,5.16,-6.0,0.95,stop/<1%,True,466
2026-05-15,GEDIK,37.61,8x+,6.98,6.98,6.98,0.0,0.0,0.0,stop/<1%,False,268
2026-05-18,GEDIK,28.58,8x+,7.4,7.67,7.13,3.65,-3.65,1.35,+1%,True,406
2026-05-20,GEDIK,8.62,8x+,7.91,8.05,6.91,1.77,-12.64,1.77,+1%,True,442
2026-05-25,GEDZA,4.52,3-5x,36.82,37.8,33.06,2.66,-10.21,2.66,+2%,True,464
2026-06-05,GENKM,11.01,8x+,16.01,17.14,15.3,7.06,-4.43,5.18,+5%+,True,484
2026-05-08,GLBMD,3.28,3-5x,12.03,12.4,11.92,3.08,-0.91,3.08,+3%,False,207
2026-05-11,GLBMD,6.62,5-8x,12.12,12.37,12.06,2.06,-0.5,2.06,+2%,False,228
2026-05-21,GMTAS,18.39,8x+,48.42,48.42,44.88,0.0,-7.31,0.0,stop/<1%,True,209
2026-06-03,GMTAS,3.9,3-5x,53.55,53.95,48.96,0.75,-8.57,0.75,stop/<1%,True,464
2026-05-18,GSDHO,8.14,8x+,6.0,6.31,5.36,5.17,-10.67,5.17,+5%+,True,464
