giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,dakika
2026-01-05,BIENY,dip,11.6,0.03,25.26,20000.0,2026-01-07,24.5022,stop,-3.03,-607.0,1.35,
2026-01-05,ESCAR,dip,9.5,0.118,25.54,20000.0,2026-01-05,24.7738,stop,-3.03,-607.0,0.39,
2026-01-05,JANTS,dip,22.6,0.169,20.58,20000.0,2026-01-05,21.1974,hedef,2.97,593.0,3.89,
2026-01-05,QUAGR,dip,20.5,0.039,2.92,20000.0,2026-01-05,2.8324,stop,-3.03,-607.0,0.0,
2026-01-05,SONME,kirilim,10.0,0.992,185.0,20000.0,2026-01-05,179.45,stop,-3.03,-607.0,2.11,
2026-01-06,ODINE,kirilim,20.0,0.996,323.0,39387.0,2026-01-08,313.31,stop,-3.03,-1195.0,0.7,
2026-01-06,SARKY,kirilim,9.8,1.174,21.68,39387.0,2026-01-06,21.0296,stop,-3.03,-1195.0,0.0,
2026-01-07,FORTE,kirilim,16.6,0.999,90.1,9548.0,2026-01-07,92.803,hedef,2.97,283.0,3.22,
2026-01-07,KCAER,dip,8.8,0.117,10.7,9548.0,2026-01-07,10.379,stop,-3.03,-290.0,1.21,
2026-01-07,KRGYO,dip,15.0,0.133,3.09,9548.0,2026-01-07,2.9973,stop,-3.03,-290.0,0.0,
2026-01-07,TRILC,dip,8.5,0.11,2.6853,9548.0,2026-01-07,2.6048,stop,-3.03,-290.0,0.0,
2026-01-08,KLSYN,kirilim,19.5,1.076,8.24,28500.0,2026-01-08,7.9928,stop,-3.03,-864.0,0.0,
2026-01-08,KRDMA,dip,9.9,0.059,25.5,28500.0,2026-01-13,26.265,hedef,2.97,846.0,3.61,
2026-01-09,SASA,dip,8.5,-0.051,2.37,65828.0,2026-01-09,2.2989,stop,-3.03,-1997.0,1.27,
2026-01-12,BORLS,dip,9.0,-0.004,3.46,15958.0,2026-01-12,3.3562,stop,-3.03,-484.0,0.0,
2026-01-12,KLGYO,kirilim,17.4,0.992,7.69,15958.0,2026-01-12,7.9207,hedef,2.97,473.0,6.89,
2026-01-12,MAGEN,kirilim,8.2,0.996,41.5,15958.0,2026-01-13,42.745,hedef,2.97,473.0,3.37,
2026-01-12,ORGE,dip,10.2,0.051,67.15,15958.0,2026-01-13,69.1645,hedef,2.97,473.0,4.32,
2026-01-13,ARENA,dip,9.9,0.152,30.4,7976.0,2026-01-13,31.312,hedef,2.97,237.0,5.39,
2026-01-13,BORLS,dip,8.0,-0.007,3.03,7976.0,2026-01-13,3.1209,hedef,2.97,237.0,3.63,
2026-01-13,EBEBK,kirilim,9.8,1.002,61.4,7976.0,2026-01-14,59.558,stop,-3.03,-242.0,0.16,
2026-01-13,ORGE,dip,10.5,0.081,68.5,7976.0,2026-01-16,70.555,hedef,2.97,237.0,3.36,
2026-01-14,ATAKP,kirilim,9.2,1.034,57.9,11233.0,2026-01-15,56.163,stop,-3.03,-341.0,0.78,
2026-01-14,BORLS,dip,8.6,-0.001,2.97,11233.0,2026-01-14,2.8809,stop,-3.03,-341.0,0.0,
2026-01-14,BSOKE,kirilim,12.9,0.912,22.0,11233.0,2026-01-14,22.66,hedef,2.97,333.0,6.73,
2026-01-14,CLEBI,dip,15.9,0.174,1753.0,11233.0,2026-01-15,1805.59,hedef,2.97,333.0,3.37,
2026-01-14,DCTTR,dip,9.2,0.155,9.21,11233.0,2026-01-14,9.4863,hedef,2.97,333.0,3.47,
2026-01-14,POLTK,dip,18.1,0.085,6160.0,11233.0,2026-01-16,6344.8,hedef,2.97,333.0,5.19,
2026-01-14,VANGD,kirilim,23.4,1.033,59.85,11233.0,2026-01-14,58.0545,stop,-3.03,-341.0,0.0,
2026-01-15,ATAKP,kirilim,13.9,1.0,58.0,13163.0,2026-01-15,59.74,hedef,2.97,391.0,6.29,
2026-01-15,BFREN,dip,10.3,0.177,161.2,13163.0,2026-01-21,156.364,stop,-3.03,-399.0,2.98,
2026-01-15,KARTN,dip,8.5,0.181,86.25,13163.0,2026-01-16,88.8375,hedef,2.97,391.0,3.19,
2026-01-15,ONCSM,kirilim,18.6,0.993,299.5,13163.0,2026-01-15,308.485,hedef,2.97,391.0,4.26,
2026-01-16,ALFAS,dip,8.3,0.099,42.64,16522.0,2026-01-21,41.3608,stop,-3.03,-501.0,1.74,
2026-01-16,SEGMN,kirilim,19.2,1.034,27.98,16522.0,2026-01-16,28.8194,hedef,2.97,490.0,3.43,
2026-01-16,YYLGD,kirilim,11.6,1.055,12.04,16522.0,2026-01-16,12.4012,hedef,2.97,490.0,3.07,
2026-01-19,DGNMO,dip,9.1,0.067,5.04,33679.0,2026-01-21,4.8888,stop,-3.03,-1021.0,0.4,
2026-01-19,KRPLS,kirilim,9.4,1.02,10.64,33679.0,2026-01-19,10.9592,hedef,2.97,999.0,4.23,
2026-01-20,LINK,dip,22.3,0.112,6.5121,34679.0,2026-01-20,6.3168,stop,-3.03,-1052.0,0.0,
2026-01-21,TURGG,dip,12.6,0.151,27.2,16813.0,2026-01-21,28.016,hedef,2.97,499.0,3.16,
2026-01-21,VSNMD,dip,17.9,0.077,103.9,16813.0,2026-01-21,100.783,stop,-3.03,-510.0,0.0,
2026-01-22,DGNMO,dip,9.0,0.092,5.12,31686.0,2026-01-27,5.2736,hedef,2.97,940.0,3.32,
2026-01-22,ESEN,dip,9.3,0.114,5.69,31686.0,2026-01-22,5.5193,stop,-3.03,-961.0,0.0,
2026-01-22,FORMT,dip,8.3,0.183,3.02,31686.0,2026-01-23,3.1106,hedef,2.97,940.0,5.96,
2026-01-23,CEMAS,dip,14.5,0.177,4.28,15363.0,2026-01-23,4.1516,stop,-3.03,-466.0,0.0,
2026-01-23,DERHL,dip,17.5,0.01,14.41,15363.0,2026-01-23,13.9777,stop,-3.03,-466.0,0.0,
2026-01-26,BIZIM,kirilim,13.4,1.112,31.98,20807.0,2026-01-27,31.0206,stop,-3.03,-631.0,1.75,
2026-01-26,CATES,kirilim,10.5,0.98,41.04,20807.0,2026-01-26,42.2712,hedef,2.97,617.0,6.19,
2026-01-26,TUREX,dip,10.0,0.02,7.79,20807.0,2026-01-27,8.0237,hedef,2.97,617.0,3.34,
2026-01-27,BAKAB,kirilim,13.1,0.983,45.62,10712.0,2026-01-27,46.9886,hedef,2.97,318.0,5.83,
2026-01-27,SANFM,dip,24.7,0.175,7.97,10712.0,2026-01-27,7.7309,stop,-3.03,-325.0,0.0,
2026-01-28,ALVES,kirilim,15.1,0.956,4.15,47821.0,2026-01-29,4.2745,hedef,2.97,1419.0,9.64,
2026-01-28,ESCAR,dip,10.3,0.11,25.06,47821.0,2026-01-28,25.8118,hedef,2.97,1419.0,3.99,
2026-01-29,DOHOL,kirilim,34.0,1.02,21.92,16413.0,2026-01-30,21.2624,stop,-3.03,-498.0,0.36,
2026-01-29,ERBOS,kirilim,10.8,1.0,215.0,16413.0,2026-01-30,208.55,stop,-3.03,-498.0,0.88,
2026-01-29,ISFIN,kirilim,51.2,1.027,20.84,16413.0,2026-01-29,21.4652,hedef,2.97,487.0,3.26,
2026-01-30,GATEG,kirilim,64.2,1.05,370.0,33070.0,2026-01-30,358.9,stop,-3.03,-1003.0,0.0,
2026-01-30,GENIL,dip,51.1,0.169,8.6532,33070.0,2026-01-30,8.3936,stop,-3.03,-1003.0,0.0,
2026-02-02,GENIL,dip,14.7,0.129,8.3466,95966.0,2026-02-03,8.0962,stop,-3.03,-2911.0,1.04,
2026-02-04,ALFAS,dip,17.3,0.182,44.8,13294.0,2026-02-04,43.456,stop,-3.03,-403.0,0.0,
2026-02-04,DERHL,dip,8.2,0.02,16.08,13294.0,2026-02-04,15.5976,stop,-3.03,-403.0,0.0,
2026-02-04,ESCAR,dip,13.0,0.142,27.0,13294.0,2026-02-09,27.81,hedef,2.97,394.0,3.04,
2026-02-04,GESAN,kirilim,10.5,1.185,60.7,13294.0,2026-02-04,58.879,stop,-3.03,-403.0,0.0,
2026-02-04,RAYSG,dip,10.0,0.067,227.2,13294.0,2026-02-06,220.384,stop,-3.03,-403.0,0.22,
2026-02-04,SKYMD,dip,9.6,0.141,12.45,13294.0,2026-02-06,12.0765,stop,-3.03,-403.0,0.0,
2026-02-04,SMRTG,dip,9.3,0.175,8.69,13294.0,2026-02-04,8.4293,stop,-3.03,-403.0,0.0,
