tarih,kat,grup,pos52,acilis,acilis_ciro_TL,secili,hisse
2026-06-16,34.5,orta,0.32,2.67,11948909,False,DENGE
2026-06-16,9.1,tepe(eski),0.97,16.63,8089197,False,BRKO
2026-06-16,8.6,orta,0.28,92.65,2363130,False,PAMEL
2026-06-16,8.4,KIRILIM,0.97,9.8,1233584,True,EUKYO
2026-06-16,7.7,orta,0.5,3.81,2586357,False,SKTAS
2026-06-16,7.3,KIRILIM,0.73,34.54,613050,False,DGGYO
2026-06-16,7.2,orta,0.59,17.5,635407,False,AVTUR
2026-06-16,7.2,orta,0.66,2.79,4610441,False,FRIGO
2026-06-16,5.8,orta,0.48,101.0,5477634,False,KTSKR
2026-06-16,5.6,orta,0.48,93.0,1374075,False,PARSN
