grup,olay,gun,son_tl,getiri_%,win_%,hedef,stop,gun_sonu,ort_getiri_%,ort_max_%,ort_min_%,medyan_max_%,medyan_min_%
DIP+KIRILIM,53,19,108339.0,8.34,49.1,23,17,13,0.22,4.44,-3.48,4.84,-2.31
ELENEN orta/tepe,174,22,99681.0,-0.32,42.5,65,79,30,-0.3,3.64,-4.38,2.62,-3.54
