tarih,hisse,grup,kat,tf,giris,tp,sl,cikis,cikis_saat,sebep,durum,getiri_%,max_fiyat,min_fiyat,max_%,min_%,max_saat,min_saat
2026-06-23,IHYAY,dip,6.8,1dk,1.86,1.9158,1.8042,1.9158,10:00,hedef,KAR,2.97,1.95,1.7,4.84,-8.6,10:00,17:59
2026-06-24,BORLS,dip,5.9,1dk,7.8,8.034,7.566,8.034,10:14,hedef,KAR,2.97,8.56,7.3,9.74,-6.41,11:20,16:28
2026-06-24,POLTK,dip,15.7,1dk,5097.5,5250.425,4944.575,5005.0,18:08,gun_sonu,ZARAR,-1.85,5097.5,4980.0,0.0,-2.31,10:00,10:17
2026-06-26,ATSYH,kirilim,5.4,1dk,108.0,111.24,104.76,111.24,12:55,hedef,KAR,2.97,113.6,111.0,5.19,2.78,13:55,18:09
2026-06-29,BMSCH,dip,86.2,1dk,14.98,15.4294,14.5306,14.7,18:09,gun_sonu,ZARAR,-1.9,15.3,14.68,2.14,-2.0,10:05,17:59
2026-06-29,FORMT,dip,5.3,1dk,2.24,2.3072,2.1728,2.22,18:08,gun_sonu,ZARAR,-0.93,2.27,2.21,1.34,-1.34,11:13,16:23
2026-06-29,ISGYO,kirilim,8.1,1dk,27.4,28.222,26.578,26.578,10:21,stop,ZARAR,-3.03,28.06,24.62,2.41,-10.15,10:00,18:09
2026-06-29,KOCMT,kirilim,6.8,1dk,3.32,3.4196,3.2204,3.35,18:09,gun_sonu,KAR,0.87,3.4,3.28,2.41,-1.2,10:27,10:00
2026-06-29,KUTPO,dip,5.5,1dk,87.5,90.125,84.875,87.2,18:08,gun_sonu,ZARAR,-0.38,88.95,84.95,1.66,-2.91,10:18,16:35
2026-06-29,MARMR,dip,14.0,1dk,2.72,2.8016,2.6384,2.6384,10:20,stop,ZARAR,-3.03,2.72,2.45,0.0,-9.93,17:24,17:53
2026-06-29,VESBE,dip,48.8,1dk,6.99,7.1997,6.7803,7.1997,10:00,hedef,KAR,2.97,7.4,6.98,5.87,-0.14,18:08,10:00
2026-06-29,VSNMD,dip,5.5,1dk,101.8,104.854,98.746,104.854,10:48,hedef,KAR,2.97,109.1,101.0,7.17,-0.79,17:10,10:07
2026-06-30,FORMT,dip,12.1,1dk,2.19,2.2557,2.1243,2.19,18:08,gun_sonu,ZARAR,-0.03,2.2,2.17,0.46,-0.91,17:59,10:00
2026-06-30,KOCMT,kirilim,7.5,1dk,3.44,3.5432,3.3368,3.5432,10:00,hedef,KAR,2.97,3.68,3.44,6.98,0.0,18:09,10:00
2026-06-30,KRONT,kirilim,18.9,1dk,24.0,24.72,23.28,24.72,16:21,hedef,KAR,2.97,25.28,23.26,5.33,-3.08,16:36,10:03
2026-06-30,PKENT,dip,5.6,1dk,146.3,150.689,141.911,146.0,18:08,gun_sonu,ZARAR,-0.24,148.9,145.5,1.78,-0.55,10:15,17:58
2026-06-30,VESBE,dip,15.4,1dk,7.69,7.9207,7.4593,7.4593,10:15,stop,ZARAR,-3.03,7.75,6.66,0.78,-13.39,10:00,18:09
