giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%
2026-05-06,IHYAY,dip,9.0,0.106,1.83,100000.0,2026-05-06,1.8483,hedef,0.97,967.0,1.09
2026-05-14,ALCAR,dip,32.9,0.183,771.5,100967.0,2026-05-14,779.215,hedef,0.97,976.0,1.69
2026-05-20,LKMNH,dip,17.0,0.169,15.2,101943.0,2026-05-20,15.352,hedef,0.97,986.0,3.09
2026-05-21,BIGTK,dip,56.0,0.018,211.5,102929.0,2026-05-21,213.615,hedef,0.97,995.0,2.08
2026-05-22,KOPOL,dip,44.1,0.131,5.03,103924.0,2026-05-22,5.0803,hedef,0.97,1005.0,9.54
2026-06-02,DERHL,dip,8.1,0.047,15.42,104929.0,2026-06-02,15.5742,hedef,0.97,1015.0,2.66
2026-06-05,CMBTN,dip,19.5,0.095,1595.0,52972.0,2026-06-05,1610.95,hedef,0.97,512.0,1.19
2026-06-05,EMKEL,dip,9.8,0.071,25.96,52972.0,2026-06-05,25.1812,stop,-3.03,-1607.0,0.15
2026-06-08,POLTK,dip,9.1,0.067,5270.0,104850.0,2026-06-08,5111.9,stop,-3.03,-3180.0,0.05
